;;;;
Förnamn och antal bärare för folkbokförda kvinnor 31 december 2022;;;;
Förnamn med minst två bärare;;;;
;;;;
Förnamn;Antal bärare;;;
ABDALWAHID;4;;;
ABDALZAHRA;4;;;
ABDASALAM;5;;;
ABDE;5;;;
ABDEELHAMID;2;;;
ABDEHAKIM;2;;;
ABDEK;2;;;
ABDEL;188;;;
ABDEL-HAKEM;2;;;
ABDEL-HAMID;2;;;
ABDEL-MONIEM;2;;;
ABDEL-RAHMAN;4;;;
ABDEL-SALAM;2;;;
ABDELA;33;;;
ABDELAAL;6;;;
ABDELAH;2;;;
ABDELAHAD;8;;;
ABDELALIM;6;;;
ABDELAMEER;2;;;
ABDELAMIR;9;;;
ABDELATIF;3;;;
ABDELAZEEM;3;;;
ABDELAZIM;14;;;
ABDELAZIZ;82;;;
ABDELBADIE;2;;;
ABDELBAGI;5;;;
ABDELBAKER;2;;;
ABDELBAKY;2;;;
ABDELBARI;4;;;
ABDELBASIT;3;;;
ABDELFATAH;12;;;
ABDELFATTAH;27;;;
ABDELGABAR;2;;;
ABDELGABBAR;2;;;
ABDELGADER;4;;;
ABDELGADIR;24;;;
ABDELGALIL;4;;;
ABDELGAWWAD;2;;;
ABDELGAYED;4;;;
ABDELGHAFAR;3;;;
ABDELGHAFFAR;4;;;
ABDELGHANI;9;;;
ABDELGHANY;6;;;
ABDELHADI;11;;;
ABDELHADY;10;;;
ABDELHAFEZ;5;;;
ABDELHAFIZ;6;;;
ABDELHAKIM;19;;;
ABDELHALIM;15;;;
ABDELHAMED;9;;;
ABDELHAMEED;8;;;
ABDELHAMID;36;;;
ABDELHASSAN;7;;;
ABDELHAY;3;;;
ABDELHLEEM;2;;;
ABDELJABBAR;3;;;
ABDELJALIL;6;;;
ABDELJAWAD;3;;;
ABDELKADER;27;;;
ABDELKADIR;10;;;
ABDELKAREEM;3;;;
ABDELKAREM;2;;;
ABDELKARIM;55;;;
ABDELKAWY;2;;;
ABDELKERIM;2;;;
ABDELKHADER;2;;;
ABDELKHALEK;3;;;
ABDELKHALEQ;2;;;
ABDELKHALIK;2;;;
ABDELKREEM;2;;;
ABDELLA;74;;;
ABDELLAH;10;;;
ABDELLATIEF;2;;;
ABDELLATIF;24;;;
ABDELLETIF;2;;;
ABDELLIAH;5;;;
ABDELMABOUD;2;;;
ABDELMADJID;2;;;
ABDELMAGID;4;;;
ABDELMAJED;2;;;
ABDELMAJID;9;;;
ABDELMAKSOUD;4;;;
ABDELMALAK;19;;;
ABDELMALEK;4;;;
ABDELMALIK;2;;;
ABDELMASEH;3;;;
ABDELMASIH;4;;;
ABDELMASSIH;4;;;
ABDELMAWGOUD;3;;;
ABDELMAWLA;2;;;
ABDELMEGID;2;;;
ABDELMELEK;5;;;
ABDELMENAF;2;;;
ABDELMESSIH;3;;;
ABDELMOHSEN;6;;;
ABDELMONEIM;10;;;
ABDELMONEM;10;;;
ABDELMONIEM;2;;;
ABDELMONIM;3;;;
ABDELMUHDI;2;;;
ABDELNAASIR;2;;;
ABDELNABI;3;;;
ABDELNOUR;7;;;
ABDELNUR;3;;;
ABDELOUAHED;3;;;
ABDELQADER;9;;;
ABDELRAHIM;33;;;
ABDELRAHMAN;89;;;
ABDELRAOUF;2;;;
ABDELRAZAG;2;;;
ABDELRAZAK;2;;;
ABDELRAZEK;9;;;
ABDELRAZEQ;2;;;
ABDELRAZIG;3;;;
ABDELRAZZAK;7;;;
ABDELRAZZAQ;2;;;
ABDELREHIM;2;;;
ABDELREZAK;2;;;
ABDELRHMAN;4;;;
ABDELRIDA;2;;;
ABDELSADEK;2;;;
