;;;;
Förnamn och antal bärare för folkbokförda kvinnor 31 december 2022;;;;
Förnamn med minst två bärare;;;;
;;;;
Förnamn;Antal bärare;;;
ANNIELA;21;;;
ANNIELI;3;;;
ANNIELLA;13;;;
ANNIELLE;11;;;
ANNIEMO;2;;;
ANNIETTE;4;;;
ANNIETTHE;3;;;
ANNIFRID;21;;;
ANNIGJE;4;;;
ANNIIE;2;;;
ANNIINA;87;;;
ANNIJA;11;;;
ANNIK;11;;;
ANNIKA;39 664;;;
ANNIKA MARIE;2;;;
ANNIKADOTTER;2;;;
ANNIKE;32;;;
ANNIKEN;34;;;
ANNIKI;72;;;
ANNIKIE;2;;;
ANNIKKA;149;;;
ANNIKKE;5;;;
ANNIKKEN;5;;;
ANNIKKI;2 974;;;
ANNIKKII;2;;;
ANNILA;14;;;
ANNILD;2;;;
ANNILEAH;3;;;
ANNILI;21;;;
ANNILIE;7;;;
ANNILLA;7;;;
ANNIN;2;;;
ANNINA;121;;;
ANNINE;10;;;
ANNIQA;48;;;
ANNIQE;3;;;
ANNIQUA;6;;;
ANNIQUE;5;;;
ANNIS;34;;;
ANNISA;18;;;
ANNISAA;3;;;
ANNISETTE;8;;;
ANNISSA;3;;;
ANNITA;354;;;
ANNITAH;3;;;
ANNITE;3;;;
ANNITHA;2;;;
ANNITTA;3;;;
ANNIZ;3;;;
ANNIÉ;18;;;
ANNJA;12;;;
ANNJEANETTE;4;;;
ANNJELI;2;;;
ANNJELICA;5;;;
ANNKARIN;3;;;
ANNKATHRIN;5;;;
ANNKATHRINE;2;;;
ANNKATRIN;54;;;
ANNKATRINE;4;;;
ANNKATTRIN;2;;;
ANNKERSTI;2;;;
ANNKI;53;;;
ANNKIE;10;;;
ANNKRISTIN;85;;;
ANNKRISTINE;7;;;
ANNLAUG;4;;;
ANNLEE;4;;;
ANNLENA;2;;;
ANNLEY;4;;;
ANNLI;31;;;
ANNLIE;6;;;
ANNLILL;6;;;
ANNLINN;4;;;
ANNLIS;81;;;
ANNLISE;3;;;
ANNLISS;2;;;
ANNLIZ;4;;;
ANNLO;2;;;
ANNLOUICE;2;;;
ANNLOUIS;10;;;
ANNLOUISE;50;;;
ANNLOVIS;2;;;
ANNMAGRET;3;;;
ANNMARGRET;19;;;
ANNMARGRETH;2;;;
ANNMARI;296;;;
ANNMARIA;2;;;
ANNMARIE;273;;;
ANNO;17;;;
ANNOLINA;2;;;
ANNORA;4;;;
ANNOU;3;;;
ANNOULA;3;;;
ANNOUS;2;;;
ANNRI;2;;;
ANNRICA;3;;;
ANNRIETTE;4;;;
ANNRIKA;25;;;
ANNSDOTTER;7;;;
ANNSI;6;;;
ANNSIE;6;;;
ANNSKI;2;;;
ANNSO;4;;;
ANNSOFHI;2;;;
ANNSOFHIE;2;;;
ANNSOFI;223;;;
ANNSOFIE;252;;;
ANNSOPHIE;25;;;
ANNTERESE;2;;;
ANNTHONIA;2;;;
ANNTIN;2;;;
ANNTOINETTE;3;;;
ANNTONIA;4;;;
ANNU;16;;;
ANNUKKA;90;;;
ANNULI;3;;;
ANNULLA;4;;;
ANNUM;2;;;
ANNUNZIATA;7;;;
ANNUR;2;;;
ANNUSHKA;2;;;
ANNUSKA;2;;;
ANNVI;25;;;
ANNVIE;2;;;
ANNVIOL;4;;;
ANNVOR;45;;;
ANNVY;2;;;
ANNWI;4;;;
ANNWOR;2;;;
ANNY;1 737;;;
ANNY KRISTINA;2;;;
ANNY-BRITT;3;;;
ANNY-MAJ;2;;;
ANNY-MARIA;2;;;
ANNY-MARIE;5;;;
ANNYA;8;;;
ANNYCA;2;;;
ANNYETTE;3;;;
ANNZO;2;;;
ANNZOFIE;3;;;
ANNÉ;27;;;
ANNÉA;39;;;
ANNÉLI;7;;;
ANNÉTH;4;;;
ANNÉTTE;11;;;
ANO;3;;;
ANOAR;7;;;
ANOCH;3;;;
ANOCHA;5;;;
ANOD;2;;;
ANOEK;2;;;
ANOJA;9;;;
ANOKINA;2;;;
ANOMA;17;;;
ANONA;7;;;
ANONG;58;;;
ANONGLAK;6;;;
ANONGLUK;2;;;
ANONGNARD;2;;;
ANONGNART;2;;;
ANONGNAT;3;;;
ANONGNUT;3;;;
ANONNA;3;;;
ANOOD;4;;;
ANOOP;2;;;
ANOOSH;2;;;
ANOOSHA;8;;;
ANOOSHEH;3;;;
ANORA;5;;;
ANOSH;2;;;
ANOSHA;17;;;
ANOSHE;3;;;
ANOSHEH;2;;;
ANOTAI;2;;;
ANOTHAI;5;;;
ANOU;2;;;
ANOUAR;2;;;
ANOUCH;5;;;
ANOUCHKA;4;;;
ANOUCK;7;;;
ANOUD;17;;;
ANOUK;104;;;
ANOUR;3;;;
ANOUSCHKA;4;;;
ANOUSH;8;;;
ANOUSHA;9;;;
ANOUSHEH;3;;;
ANOUSHKA;13;;;
ANOUSKA;3;;;
ANOVA;3;;;
ANOWARA;6;;;
ANOYA;2;;;
ANQI;30;;;
ANQING;2;;;
ANRAN;11;;;
ANRI;25;;;
ANRIKA;5;;;
ANSA;68;;;
ANSAF;19;;;
ANSAL;17;;;
ANSAM;77;;;
ANSAN;2;;;
ANSAR;12;;;
ANSBJERG;2;;;
ANSCHEN;3;;;
ANSE;4;;;
ANSELA;2;;;
ANSELI;3;;;
ANSELICA;2;;;
ANSELIKA;2;;;
ANSELINA;6;;;
ANSELMA;6;;;
ANSELMINA;2;;;
ANSEMIA;4;;;
ANSGARSDOTTER;2;;;
ANSHA;7;;;
ANSHI;2;;;
ANSHIKA;8;;;
ANSHITA;2;;;
ANSHRAH;2;;;
ANSHU;9;;;
ANSHUKA;2;;;
ANSHUR;7;;;
ANSI;20;;;
ANSIE;11;;;
ANSIEH;3;;;
ANSINA;2;;;
ANSINE;6;;;
ANSJE;2;;;
ANSKELI;3;;;
ANSNES;2;;;
ANSO;4;;;
ANSOFI;2;;;
ANSOFIE;2;;;
ANSSAM;2;;;
ANSTASIA;2;;;
ANSTIN;2;;;
ANSU;3;;;
ANSY;20;;;
ANTA;37;;;
ANTALNÉ;2;;;
ANTANINA;10;;;
ANTAR;8;;;
ANTARA;14;;;
ANTASAR;2;;;
ANTE;5;;;
ANTEA;11;;;
ANTELA;2;;;
ANTELAINTA;3;;;
ANTELIA;5;;;
ANTELINA;4;;;
ANTENEH;11;;;
ANTER;2;;;
ANTEROSDOTTER;3;;;
ANTESAR;9;;;
ANTHEA;35;;;
ANTHEIA;2;;;
ANTHI;18;;;
ANTHIA;4;;;
ANTHIE;2;;;
ANTHIKA;2;;;
ANTHOINETTE;3;;;
ANTHONELLA;4;;;
ANTHONETTE;6;;;
ANTHONIA;68;;;
ANTHONY;6;;;
ANTHOULA;23;;;
ANTHUANET;2;;;
ANTHÉA;2;;;
ANTIA;8;;;
ANTIANA;2;;;
ANTIBE;2;;;
ANTICA;13;;;
ANTIGON;2;;;
ANTIGONA;106;;;
ANTIGONE;46;;;
ANTIGONI;26;;;
ANTIGONIA;3;;;
ANTIKA;3;;;
ANTILIA;12;;;
ANTIMA;2;;;
ANTIN;3;;;
ANTINA;28;;;
ANTINE;3;;;
ANTIONETT;7;;;
ANTIONETTA;17;;;
ANTIONETTE;28;;;
ANTIOPE;2;;;
ANTISAR;3;;;
ANTJE;164;;;
ANTO;2;;;
ANTOAN;2;;;
ANTOANELA;5;;;
ANTOANELLA;2;;;
ANTOANET;2;;;
ANTOANETA;33;;;
ANTOANETT;2;;;
ANTOANETTE;6;;;
ANTOINE;23;;;
ANTOINET;8;;;
ANTOINETE;2;;;
ANTOINETT;15;;;
ANTOINETTA;183;;;
ANTOINETTE;666;;;
ANTOINNETTE;3;;;
ANTOLINA;6;;;
ANTON;30;;;
ANTONA;5;;;
ANTONE;3;;;
ANTONELA;44;;;
ANTONELLA;246;;;
ANTONETA;29;;;
ANTONETE;2;;;
ANTONETT;2;;;
ANTONETTA;4;;;
ANTONETTE;46;;;
ANTONI;5;;;
ANTONIA;3 237;;;
ANTONIA-MARIA;5;;;
ANTONICA;2;;;
ANTONIDA;2;;;
ANTONIE;69;;;
ANTONIETA;90;;;
ANTONIETT;2;;;
ANTONIETTA;74;;;
ANTONIETTE;13;;;
ANTONIJA;126;;;
ANTONILA;2;;;
ANTONINA;359;;;
ANTONIO;12;;;
ANTONIOVNA;2;;;
ANTONIUS;2;;;
ANTONIUSDOTTER;3;;;
ANTONIYA;9;;;
ANTONOVA;15;;;
ANTONOVNA;9;;;
ANTONSDOTTER;10;;;
ANTONUOS;2;;;
ANTONY;3;;;
ANTONYA;7;;;
ANTONYO;2;;;
ANTORA;2;;;
ANTOUN;9;;;
ANTOUNILLA;2;;;
ANTOUNIS;3;;;
ANTRA;18;;;
ANTRANIK;4;;;
ANTRONIA;2;;;
ANTSAR;2;;;
ANTTINETTA;2;;;
ANTTONELLA;2;;;
ANTUANE;2;;;
ANTUANETH;2;;;
ANTUELA;3;;;
ANTWAN;18;;;
ANTWANET;10;;;
ANTWANETTE;3;;;
ANTWANIT;4;;;
ANTWIWAA;2;;;
ANTZELA;15;;;
ANTZELINA;3;;;
ANTÓNIA;9;;;
ANU;295;;;
ANU-UJIN;11;;;
ANUAR;3;;;
ANUARITE;2;;;
ANUBHA;7;;;
ANUBHUTI;3;;;
ANUBIS;3;;;
ANUD;5;;;
ANUDARI;20;;;
ANUELA;3;;;
ANUEYA;2;;;
ANUJA;23;;;
ANUJIN;43;;;
ANUK;2;;;
ANUKA;3;;;
ANUKI;2;;;
ANULA;5;;;
ANULI;2;;;
ANULIINA;2;;;
ANULIKA;4;;;
ANULUK;2;;;
ANUM;38;;;
ANUMA;3;;;
ANUMOL;2;;;
ANUMSA;3;;;
ANUNCIACION;3;;;
ANUNDARI;2;;;
ANUNDSDOTTER;7;;;
ANUNGOO;7;;;
ANUNYA;2;;;
ANUOLUWA;2;;;
ANUOLUWAPO;6;;;
ANUP;2;;;
ANUPA;3;;;
ANUPAMA;37;;;
ANUPMA;4;;;
ANUPRIYA;10;;;
ANURA;2;;;
ANURADHA;53;;;
ANURADHI;3;;;
ANURAG;2;;;
ANURAK;4;;;
ANUREET;4;;;
ANURIKA;2;;;
ANURUDDHIKA;2;;;
ANUSA;2;;;
ANUSARA;9;;;
ANUSAYA;5;;;
ANUSCHKA;8;;;
ANUSH;26;;;
ANUSHA;117;;;
ANUSHIK;3;;;
ANUSHIKA;2;;;
ANUSHKA;35;;;
ANUSHREE;8;;;
ANUSIYA;2;;;
ANUSJ;2;;;
ANUSKA;10;;;
ANUSORN;2;;;
ANUSREE;4;;;
ANUSSARA;2;;;
ANUSUA;2;;;
ANUSUYA;5;;;
ANUTA;10;;;
ANUTHIDA;7;;;
ANUTHTHARA;3;;;
ANUTHYA;2;;;
ANUTIDA;2;;;
ANUTSARA;3;;;
ANUUJIN;5;;;
ANUYA;3;;;
ANVAR;2;;;
ANVAROVNA;11;;;
ANVI;20;;;
ANVIKA;10;;;
ANVITA;4;;;
ANVITHA;8;;;
ANVOR;23;;;
ANWAAR;9;;;
ANWAR;450;;;
ANWARA;4;;;
ANWEN;12;;;
ANWER;97;;;
ANWESHA;10;;;
ANWIA;6;;;
ANWITA;5;;;
ANWIYA;3;;;
ANWR;2;;;
ANWULI;2;;;
ANXHELA;42;;;
ANXHELINA;4;;;
ANY;20;;;
ANYA;307;;;
ANYAH;2;;;
ANYAMANEE;5;;;
ANYAMANI;2;;;
ANYANEE;4;;;
ANYANGO;32;;;
ANYARAT;9;;;
ANYARIN;4;;;
ANYELA;7;;;
ANYELIN;2;;;
ANYELINA;4;;;
ANYI;4;;;
ANYIE;2;;;
ANYING;2;;;
ANYLA;2;;;
ANZA;2;;;
ANZAL;57;;;
ANZEL;3;;;
ANZELA;15;;;
ANZELIKA;21;;;
ANZHALIKA;3;;;
ANZHELA;36;;;
ANZHELIKA;35;;;
ANZHI;2;;;
ANZI;3;;;
ANZIL;2;;;
ANZINE;2;;;
ANZJELIKA;3;;;
ANZUM;2;;;
ANZY;6;;;
ANÁ;2;;;
ANÉ;6;;;
ANÉA;10;;;
ANÉTTE;21;;;
ANÍTA;4;;;
AO;4;;;
AODESHO;2;;;
AODI;2;;;
AOGHOL;2;;;
AOI;16;;;
AOIBHEANN;3;;;
AOIFE;35;;;
AOKO;4;;;
AOL;2;;;
AOLA;7;;;
AOLIN;3;;;
AOMI;2;;;
AOMJAI;4;;;
AON;2;;;
AONNICHA;2;;;
AORELA;2;;;
AOROBA;2;;;
AORTA;2;;;
AOS;2;;;
AOUATEF;5;;;
AOUATIF;8;;;
AOUDA;5;;;
AOUICHA;6;;;
AOUN;3;;;
AOURORA;10;;;
AOWS;2;;;
AOYJAI;2;;;
APAJOK;2;;;
APARAJITA;6;;;
APARECIDA;99;;;
APARNA;56;;;
APASARA;2;;;
APASRA;3;;;
APATSARA;4;;;
APAU;2;;;
APAWAN;2;;;
APEKSHA;7;;;
APEL;3;;;
APELINA;2;;;
APELONIA;3;;;
APELSINA;3;;;
APENDEKI;2;;;
APEX;3;;;
APHATSANAN;2;;;
APHATSARA;6;;;
APHELELE;2;;;
APHINYA;20;;;
APHIRADEE;2;;;
APHISARA;2;;;
APHRAEL;2;;;
APHRODITE;25;;;
APICHAYA;3;;;
APINJA;2;;;
APINYA;49;;;
APIRADA;2;;;
APIRADEE;7;;;
APIRUDEE;5;;;
APISADA;2;;;
APISARA;4;;;
APISSARA;2;;;
APITCHAYA;2;;;
APITSADA;3;;;
APIWAN;2;;;
APIYO;3;;;
APO;2;;;
APOLIA;6;;;
APOLINA;5;;;
APOLINARY;2;;;
APOLINE;2;;;
APOLLINE;12;;;
APOLLO;5;;;
APOLLONIA;93;;;
APOLONIA;85;;;
APONDI;2;;;
APOORVA;25;;;
APORN;9;;;
APOSTOLIA;11;;;
APOSTOLINA;2;;;
APOSTOLOVA;2;;;
APPALONIA;2;;;
APPASARA;2;;;
APPEL;4;;;
APPELBY;10;;;
APPELONIA;4;;;
APPHIA;4;;;
APPIA;2;;;
APPIAH;2;;;
APPLE;37;;;
APPOLINE;5;;;
APPOLLONIA;4;;;
APPOLONIA;20;;;
APPUHAMILAGE;3;;;
APPUHAMY;2;;;
APRAJITA;6;;;
APRAM;2;;;
APRIL;253;;;
APRILE;3;;;
APRILIA;248;;;
APRILLA;4;;;
APRILLIA;8;;;
APRIM;4;;;
APSARA;4;;;
APSORN;5;;;
APTULA;2;;;
APURVA;9;;;
AQDAS;7;;;
AQEEDAT;2;;;
AQEEL;32;;;
AQEELA;2;;;
AQELA;12;;;
AQELEH;2;;;
AQIDA;2;;;
AQIL;12;;;
AQILA;27;;;
AQILAH;5;;;
AQILEH;2;;;
AQL;2;;;
AQLIMA;2;;;
AQSA;53;;;
AQUA;3;;;
AQUALINA;2;;;
AQUELINA;11;;;
AQUIL;5;;;
AQUILA;8;;;
AQUILINA;11;;;
AQUILLO;2;;;
AQUINNE;2;;;
AQUINO;7;;;
AQVELINA;49;;;
AQVILINA;45;;;
AR;2;;;
ARA;130;;;
ARAA;5;;;
ARAASS;2;;;
ARAB;41;;;
ARABA;7;;;
ARABEL;2;;;
ARABELA;12;;;
ARABELLA;47;;;
ARABELLE;4;;;
ARABI;15;;;
ARABIA;5;;;
ARABO;11;;;
ARABOW;6;;;
ARACELI;62;;;
ARACELIA;2;;;
ARACELIS;3;;;
ARACELLI;9;;;
ARACELLY;17;;;
ARACELY;45;;;
ARACELYS;2;;;
ARACH;2;;;
ARACHCHI;2;;;
ARACHCHIGE;28;;;
ARACHCHILAGE;3;;;
ARACHCHILLAGE;2;;;
ARACHNE;2;;;
ARADA;4;;;
ARADHANA;14;;;
ARADHNA;5;;;
ARADHYA;9;;;
ARADIA;2;;;
ARADICE;2;;;
ARADIS;2;;;
ARADOM;2;;;
ARADOTTIR;3;;;
ARAFA;20;;;
ARAFAAT;4;;;
ARAFAT;18;;;
ARAFO;12;;;
ARAGSAN;35;;;
ARAH;4;;;
ARAIA;8;;;
ARAIBI;3;;;
ARAKS;4;;;
ARAKSAN;7;;;
ARAKSI;4;;;
ARAKSYA;6;;;
ARALE;3;;;
ARALIA;5;;;
ARALIYA;2;;;
ARAM;105;;;
ARAMATA;2;;;
ARAMATOU;2;;;
ARAME;3;;;
ARAMEA;5;;;
ARAMESH;3;;;
ARAMI;5;;;
ARAMIA;15;;;
ARAMIDE;4;;;
ARAMINTA;6;;;
ARAMIS;5;;;
ARAMITA;2;;;
ARAMYA;3;;;
ARAN;10;;;
ARANA;2;;;
ARANCA;2;;;
ARANDA;2;;;
ARANI;2;;;
ARANKA;61;;;
ARANRAT;2;;;
ARANSHI;6;;;
ARANTXA;18;;;
ARANTZA;5;;;
ARANTZAZU;5;;;
ARANYA;35;;;
ARANZA;4;;;
ARANZAZU;15;;;
ARAOLUWA;2;;;
ARAP;4;;;
ARAPIN;2;;;
ARARAT;4;;;
ARAS;29;;;
ARASA;2;;;
ARASAY;2;;;
ARASTEH;3;;;
ARATHI;3;;;
ARATHY;2;;;
ARATI;10;;;
ARATRIKA;4;;;
ARAVIDOU;2;;;
ARAVINDA;2;;;
ARAWAN;5;;;
ARAWEELO;2;;;
ARAX;6;;;
ARAXI;10;;;
ARAXIE;2;;;
ARAXIN;4;;;
ARAXY;2;;;
ARAY;2;;;
ARAYA;167;;;
ARAYE;8;;;
ARAZ;38;;;
ARAZO;31;;;
ARAZOO;10;;;
ARAZOW;2;;;
ARAZU;8;;;
ARAZW;4;;;
ARBA;14;;;
ARBAB;8;;;
ARBANA;13;;;
ARBAY;3;;;
ARBEEL;2;;;
ARBELEENA;2;;;
ARBELINA;8;;;
ARBELLA;9;;;
ARBENITA;77;;;
ARBENORA;2;;;
ARBERESHA;12;;;
ARBERESHE;2;;;
ARBERIE;2;;;
ARBERITA;3;;;
ARBERORE;2;;;
ARBESA;19;;;
ARBI;3;;;
ARBIA;7;;;
ARBIL;4;;;
ARBIN;2;;;
ARBINA;4;;;
ARBNESHA;9;;;
ARBNESHE;2;;;
ARBNORA;58;;;
ARBNORE;34;;;
ARBOE;2;;;
ARBONA;4;;;
ARBORA;2;;;
ARBRESA;3;;;
ARBRESHA;51;;;
ARBRESHE;2;;;
ARBRESHË;2;;;
ARBRIJE;2;;;
ARBRORA;2;;;
ARBRORE;5;;;
ARBULENA;2;;;
ARBËRESHA;3;;;
ARC;2;;;
ARCADIA;6;;;
ARCANGELA;5;;;
ARCE;2;;;
ARCELI;9;;;
ARCELIA;5;;;
ARCELIE;5;;;
ARCELLY;2;;;
ARCHA;4;;;
ARCHALOS;2;;;
ARCHALOUS;2;;;
ARCHALUS;2;;;
ARCHANA;87;;;
ARCHER;3;;;
ARCHIBALD;2;;;
ARCHITA;4;;;
ARCHONTO;2;;;
ARCILLA;2;;;
ARDA;22;;;
ARDAHAN;2;;;
ARDALAN;2;;;
ARDEA;4;;;
ARDELINA;2;;;
ARDEN;6;;;
ARDIANA;100;;;
ARDIANE;5;;;
ARDIJANA;24;;;
ARDINA;7;;;
ARDIS;12;;;
ARDITA;122;;;
ARDITE;8;;;
ARDITH;4;;;
ARDITË;2;;;
ARDO;57;;;
AREA;2;;;
AREE;46;;;
AREEB;3;;;
AREEBA;37;;;
AREEBAH;3;;;
AREEDA;2;;;
AREEG;9;;;
AREEJ;144;;;
AREEN;26;;;
AREERAT;21;;;
AREESA;2;;;
AREESHA;22;;;
AREEWAN;4;;;
AREEYA;22;;;
AREEZ;2;;;
AREF;37;;;
AREFA;17;;;
AREFAINE;8;;;
AREFAT;4;;;
AREFAYNE;7;;;
AREFE;15;;;
AREFEH;19;;;
AREG;8;;;
AREGA;2;;;
AREGAI;4;;;
AREGASH;6;;;
AREGAWI;8;;;
AREGAY;23;;;
AREIG;2;;;
AREJ;15;;;
AREK;6;;;
AREKNAZ;2;;;
ARELA;4;;;
ARELI;14;;;
ARELIA;2;;;
ARELIS;7;;;
ARELLA;3;;;
ARELY;21;;;
ARELYS;3;;;
AREN;9;;;
ARENA;3;;;
ARENDINA;3;;;
ARENDJE;4;;;
ARENI;3;;;
ARENS;2;;;
ARENT;2;;;
ARES;4;;;
ARESEMA;2;;;
ARESHA;4;;;
ARET;3;;;
ARETA;4;;;
ARETHA;15;;;
ARETI;54;;;
ARETINA;2;;;
ARETTA;3;;;
AREVAG;2;;;
AREVIK;14;;;
AREYAM;2;;;
AREYS;5;;;
AREZ;15;;;
AREZO;193;;;
AREZOO;121;;;
AREZOU;65;;;
AREZU;24;;;
AREZZO;3;;;
ARFA;34;;;
ARFAH;4;;;
ARFAT;2;;;
ARFI;2;;;
ARFIN;4;;;
ARFON;6;;;
ARFS;8;;;
ARGA;3;;;
ARGEA;2;;;
ARGELIA;8;;;
ARGENIS;4;;;
ARGENTINA;25;;;
ARGHAVAN;28;;;
ARGHAWAN;5;;;
ARGIMIRA;2;;;
ARGIRI;3;;;
ARGIRO;17;;;
ARGIROULA;2;;;
ARGJENDA;4;;;
ARGJENTA;3;;;
ARGJENTINA;2;;;
ARGJIRA;3;;;
ARGJIRO;2;;;
ARGNESA;3;;;
ARGWAN;3;;;
ARGYRI;5;;;
ARGYRO;26;;;
ARGÅRDS;2;;;
ARHA;2;;;
ARHAM;3;;;
ARHE;2;;;
ARHET;7;;;
ARI;54;;;
ARI-ANN;2;;;
ARIA;274;;;
ARIADINE;2;;;
ARIADNA;54;;;
ARIADNE;87;;;
ARIADNI;27;;;
ARIAGNA;2;;;
ARIAH;4;;;
ARIAM;163;;;
ARIAMBA;2;;;
ARIAN;26;;;
ARIANA;690;;;
ARIANA-MARIA;2;;;
ARIANAH;2;;;
ARIANDA;3;;;
ARIANDI;2;;;
ARIANE;167;;;
ARIANISA;2;;;
ARIANITA;6;;;
ARIANN;8;;;
ARIANNA;154;;;
ARIANNE;48;;;
ARIAS;3;;;
ARIBA;15;;;
ARIBELLA;2;;;
ARICA;3;;;
ARICH;2;;;
ARICHA;2;;;
ARICIA;2;;;
ARID;2;;;
ARIDA;3;;;
ARIDE;2;;;
ARIDJ;4;;;
ARIDONA;5;;;
ARIE;3;;;
ARIEIL;2;;;
ARIEL;284;;;
ARIELA;29;;;
ARIELE;10;;;
ARIELL;3;;;
ARIELLA;117;;;
ARIELLE;114;;;
ARIENA;2;;;
ARIENE;2;;;
ARIENNE;10;;;
ARIES;2;;;
ARIET;4;;;
ARIETA;22;;;
ARIETTA;2;;;
ARIETTE;5;;;
ARIF;68;;;
ARIFA;94;;;
ARIFE;59;;;
ARIFOVA;3;;;
ARIFUN;2;;;
ARIG;10;;;
ARIHA;3;;;
ARIIA;2;;;
ARIINA;3;;;
ARIJ;75;;;
ARIJA;20;;;
ARIJANA;127;;;
ARIJANITA;2;;;
ARIJE;4;;;
ARIJETA;47;;;
ARIJOLA;4;;;
ARIKA;12;;;
ARIKE;5;;;
ARIKIA;2;;;
ARILD;2;;;
ARILDA;2;;;
ARILDSDOTTER;3;;;
ARILENA;7;;;
ARIM;3;;;
ARIMAN;3;;;
ARIMUN;2;;;
ARIN;163;;;
ARINA;276;;;
ARINAS;2;;;
ARINDA;3;;;
ARINE;10;;;
ARINNA;3;;;
ARIOLA;21;;;
ARIONA;17;;;
ARIRAT;3;;;
ARIS;3;;;
ARISA;109;;;
ARISARA;29;;;
ARISDOTTER;3;;;
ARISEMA;2;;;
ARISH;3;;;
ARISHA;47;;;
ARISRA;2;;;
ARISSA;14;;;
ARISSARA;10;;;
ARISTA;5;;;
ARISTEA;31;;;
ARISTEJA;2;;;
ARISTELA;2;;;
ARISTI;2;;;
ARISTITA;2;;;
ARISTOULA;2;;;
ARIT;2;;;
ARITA;31;;;
ARITINA;3;;;
ARITSARA;9;;;
ARIUN;3;;;
ARIUNAA;13;;;
ARIUNBILEG;2;;;
ARIUNGEREL;2;;;
ARIUNGOO;2;;;
ARIUNJARGAL;17;;;
ARIUNSAIKHAN;2;;;
ARIUNSONDOR;2;;;
ARIUNTSETSEG;3;;;
ARIUNTUNGALAG;4;;;
ARIUNTUYA;8;;;
ARIUNZAYA;13;;;
ARIUNZUL;5;;;
ARIVAN;10;;;
ARIYA;59;;;
ARIYAM;6;;;
ARIYAN;7;;;
ARIYANA;7;;;
ARIYARATHNA;2;;;
ARIZA;6;;;
ARIZO;3;;;
ARIZONA;36;;;
ARIÉL;2;;;
ARIÉLLE;3;;;
ARJA;984;;;
ARJA LIISA;2;;;
ARJA-LEENA;8;;;
ARJA-LIISA;12;;;
ARJA-RIITTA;2;;;
ARJAM;4;;;
ARJAN;11;;;
ARJANA;44;;;
ARJANITA;9;;;
ARJAREE;2;;;
ARJELA;2;;;
ARJETA;117;;;
ARJETE;3;;;
ARJETË;2;;;
ARJIN;21;;;
ARJOLA;13;;;
ARJONA;5;;;
ARJUAN;2;;;
ARJUMAND;2;;;
ARJWAN;6;;;
ARKADIEVNA;8;;;
ARKADJEVNA;2;;;
ARKAN;61;;;
ARKHAWAN;5;;;
ARLA;86;;;
ARLEAN;2;;;
ARLEEN;6;;;
ARLEN;11;;;
ARLENA;8;;;
ARLENE;133;;;
ARLENIS;2;;;
ARLENNE;2;;;
ARLET;3;;;
ARLETA;44;;;
ARLETE;3;;;
ARLETH;7;;;
ARLETT;8;;;
ARLETTA;14;;;
ARLETTE;80;;;
ARLETTY;2;;;
ARLETY;2;;;
ARLI;6;;;
ARLIN;7;;;
ARLINA;4;;;
ARLINDA;191;;;
ARLINDE;2;;;
ARLINE;22;;;
ARLISA;2;;;
ARLIV;2;;;
ARLIYA;2;;;
ARLYN;13;;;
ARLÈNE;2;;;
ARLÉNE;13;;;
ARMA;6;;;
ARMAGAN;2;;;
ARMAGHAN;31;;;
ARMAN;7;;;
ARMANA;15;;;
ARMAND;2;;;
ARMANDA;28;;;
ARMANDE;3;;;
ARMANDINA;3;;;
ARMANDINE;3;;;
ARMANI;2;;;
ARMANTA;2;;;
ARMEEN;4;;;
ARMELA;20;;;
ARMELINA;2;;;
ARMELINDA;4;;;
ARMELLA;3;;;
ARMELLE;15;;;
ARMENA;2;;;
ARMENDA;2;;;
ARMENOHI;5;;;
ARMENUHI;17;;;
ARMFELT;9;;;
ARMGARD;3;;;
ARMI;243;;;
ARMIA;2;;;
ARMICA;2;;;
ARMIDA;165;;;
ARMIDE;2;;;
ARMIE;4;;;
ARMIG;2;;;
ARMIIDA;12;;;
ARMIKA;13;;;
ARMILDA;7;;;
ARMILDE;18;;;
ARMIN;10;;;
ARMINA;113;;;
ARMINAK;2;;;
ARMINDA;24;;;
ARMINE;56;;;
ARMINEH;6;;;
ARMINETTE;2;;;
ARMINIE;2;;;
ARMINÉ;3;;;
ARMIRA;3;;;
ARMISH;6;;;
ARMITA;96;;;
ARMONIA;4;;;
ARMONIE;2;;;
ARMSTRONG;2;;;
ARN;3;;;
ARNA;100;;;
ARNAA;2;;;
ARNADA;2;;;
ARNADOTTER;3;;;
ARNADOTTIR;2;;;
ARNAVAZ;2;;;
ARNAVI;2;;;
ARNBJÖRG;3;;;
ARNDIS;6;;;
ARNE;5;;;
ARNEDOTTER;17;;;
ARNELA;160;;;
ARNELIA;4;;;
ARNELLA;6;;;
ARNESA;15;;;
ARNESDATTER;2;;;
ARNESDOTTER;153;;;
ARNESSON;2;;;
ARNETA;2;;;
ARNETTE;4;;;
ARNEVI;11;;;
ARNEY;2;;;
ARNFRID;2;;;
ARNGERD;3;;;
ARNHILD;28;;;
ARNI;3;;;
ARNICA;4;;;
ARNIE;4;;;
ARNIKA;21;;;
ARNISA;11;;;
ARNITA;4;;;
ARNOLDA;7;;;
ARNOLDSDOTTER;12;;;
ARNY;10;;;
ARNÉ;2;;;
ARO;4;;;
AROA;13;;;
AROB;2;;;
AROBA;3;;;
AROCHA;2;;;
AROHA;9;;;
AROHI;13;;;
AROKEY;4;;;
AROM;6;;;
AROMA;2;;;
ARON;54;;;
