;;;;
Tilltalsnamn, antal bärare och medelålder för folkbokförda män 31 december 2022;;;;
Tilltalsnamn med minst två bärare, medelålder redovisas där antal bärare är 10 eller fler;;;;
;;;;
Tilltalsnamn;Antal bärare;Medelålder;;
EMRO;2;-;;
EMRON;2;-;;
EMRULLAH;26;34;;
EMRUS;3;-;;
EMRUSH;9;-;;
EMRY;3;-;;
EMRYS;3;-;;
EMSAD;2;-;;
EMSAL;2;-;;
EMSEL;2;-;;
EMSON;2;-;;
EMSUD;20;52,3;;
EMTIAZ;3;-;;
EMTON;3;-;;
EMUN;7;-;;
EMUND;3;-;;
EMZARI;2;-;;
EN;5;-;;
ENAD;10;28,9;;
ENAIAT;3;-;;
ENAIATULLAH;4;-;;
ENAJAT;2;-;;
ENAL;3;-;;
ENAM;5;-;;
ENAMUL;7;-;;
ENAN;2;-;;
ENAR;429;47,8;;
ENAS;2;-;;
ENAYAT;36;32,3;;
ENAYATOLLAH;6;-;;
ENAYATULLAH;21;32,3;;
ENAYET;2;-;;
ENDALE;8;-;;
ENDALKACHEW;6;-;;
ENDEL;17;80,6;;
ENDER;29;29,7;;
ENDI;47;15,7;;
ENDIJS;3;-;;
ENDION;2;-;;
ENDRE;72;50,4;;
ENDRÉ;2;-;;
ENDREAS;5;-;;
ENDRI;37;17,7;;
ENDRIAS;13;29,7;;
ENDRICK;2;-;;
ENDRIK;2;-;;
ENDRIN;3;-;;
ENDRIT;149;20,3;;
ENDRO;2;-;;
ENDRY;2;-;;
ENDURANCE;9;-;;
ENDY;8;-;;
ENE;5;-;;
ENEA;29;20,1;;
ENEAS;22;17,3;;
ENÉAS;2;-;;
ENEASZ;2;-;;
ENEDIN;3;-;;
ENEKO;7;-;;
ENEO;8;-;;
ENER;5;-;;
ENEREL;8;-;;
ENERELT;2;-;;
ENES;705;29,3;;
ENEY;2;-;;
ENEZ;10;47,8;;
ENFRID;6;-;;
ENG;4;-;;
ENGDA;2;-;;
ENGE;2;-;;
ENGEL;5;-;;
ENGELBERT;17;68,2;;
ENGELBREKT;11;21,4;;
ENGIN;129;37;;
ENGJEL;2;-;;
ENGJELL;11;21,9;;
ENGJËLL;9;-;;
ENGJELLUSH;3;-;;
ENGJULL;4;-;;
ENGUERRAND;2;-;;
ENGUUN;15;9,3;;
ENHAR;3;-;;
ENI;20;28,5;;
ENIAN;6;-;;
ENID;9;-;;
ENIJAD;2;-;;
ENIL;4;-;;
ENIO;7;-;;
ENIOLA;3;-;;
ENIS;331;29,4;;
ENIZ;18;53,8;;
ENKEL;6;-;;
ENKELED;4;-;;
ENKH;4;-;;
ENKH-AMAR;2;-;;
ENKH-AMGALAN;7;-;;
ENKHBAATAR;14;44,4;;
ENKHBAT;10;35;;
ENKHBAYAR;11;37,1;;
ENKHBILEG;3;-;;
ENKHBILGUUN;2;-;;
ENKHBOLD;11;32,2;;
ENKH-ERDENE;6;-;;
ENKHKHUSLEN;3;-;;
ENKHMANLAI;3;-;;
ENKHMEND;6;-;;
ENKHMUNKH;8;-;;
ENKH-OD;3;-;;
ENKH-ORGIL;2;-;;
ENKHSAIKHAN;6;-;;
ENKHSULD;3;-;;
ENKHTAIVAN;6;-;;
ENKHTUR;10;39,6;;
ENKHTUVSHIN;10;26,5;;
ENKI;7;-;;
ENKIDO;35;19,4;;
ENKIDU;2;-;;
ENLIL;39;13,9;;
ENLIN;2;-;;
ENMANUEL;4;-;;
ENMAR;3;-;;
ENMING;2;-;;
ENN;24;75,7;;
ENNES;11;21,2;;
ENNIO;39;25,8;;
ENNIS;26;17,5;;
ENNO;34;50,9;;
ENO;16;24,3;;
ENOC;7;-;;
ENOCH;50;26,3;;
ENOCK;39;33,3;;
ENOH;3;-;;
ENOK;126;15,6;;
ENON;2;-;;
ENOR;4;-;;
ENOS;4;-;;
ENRI;5;-;;
ENRIC;14;38,8;;
ENRICK;2;-;;
ENRICO;161;42,3;;
ENRIK;3;-;;
ENRIKAS;4;-;;
ENRIKO;8;-;;
ENRIQE;2;-;;
ENRIQUE;293;46,7;;
ENRRIQUE;2;-;;
ENSA;6;-;;
ENSAF;2;-;;
ENSAR;186;14,1;;
ENSARI;2;-;;
ENSI;5;-;;
ENSIO;61;56,1;;
ENSO;7;-;;
ENTISON;2;-;;
ENTMONT;2;-;;
ENTON;2;-;;
ENTONI;4;-;;
ENTRI;3;-;;
ENUAR;3;-;;
ENVER;400;50,1;;
ENWAR;2;-;;
ENWER;2;-;;
ENYINNAYA;3;-;;
ENYO;6;-;;
ENZE;5;-;;
ENZI;3;-;;
ENZIAN;2;-;;
ENZIO;12;19,4;;
ENZO;796;10,8;;
EOGHAN;10;23,5;;
EOIN;21;33,4;;
ÉOMER;5;-;;
EON;3;-;;
EOS;2;-;;
EPAMEINONDAS;4;-;;
EPAMINONDAS;4;-;;
EPHEREM;3;-;;
EPHRAIM;34;21,3;;
EPHRAM;3;-;;
EPHREM;42;46;;
EQBAL;8;-;;
EQBALL;2;-;;
EQEREM;4;-;;
EQREM;6;-;;
ERAJ;5;-;;
ERALD;22;25,8;;
ERALDO;8;-;;
ERALI;2;-;;
ERALP;3;-;;
ERAM;2;-;;
ERAN;15;40,5;;
ERAND;16;19;;
ERANGA;2;-;;
ERASMO;6;-;;
ERASMUS;13;32,8;;
ERAY;110;19;;
ERBIL;4;-;;
ERBLIN;45;15,4;;
ERBLIND;2;-;;
ERBOLD;2;-;;
ERCAN;172;44,1;;
ERCO;2;-;;
ERCÜMENT;8;-;;
ERDAL;131;40;;
ERDAN;8;-;;
ERDELAN;2;-;;
ERDEM;111;25,7;;
ERDEMBILEG;2;-;;
ERDEN;7;-;;
ERDENE;5;-;;
ERDENEBAATAR;7;-;;
ERDENEBAT;11;30,4;;
ERDENEBAYAR;11;35,4;;
ERDENEBILEG;4;-;;
ERDENEBOLD;2;-;;
ERDENECHULUUN;5;-;;
ERDENEDAVAA;2;-;;
ERDENEGEREL;2;-;;
ERDENEJARGAL;3;-;;
ERDENE-OCHIR;6;-;;
ERDENETSOGT;2;-;;
ERDI;43;13,5;;
ERDIJAN;7;-;;
ERDIN;24;29,8;;
ERDINC;29;42,6;;
ERDINÇ;3;-;;
ERDINCH;8;-;;
ERDION;5;-;;
ERDISON;2;-;;
ERDIT;2;-;;
ERDJAN;12;30,1;;
ERDMANN;2;-;;
ERDOAN;7;-;;
ERDOGAN;60;52,7;;
ERDOM;3;-;;
ERDON;7;-;;
ERDUAN;50;26,8;;
ERDUVAN;2;-;;
ERDZAN;10;34,2;;
ERDZHAN;8;-;;
EREKLE;3;-;;
EREL;4;-;;
EREM;2;-;;
EREMIA;4;-;;
EREMIAS;5;-;;
EREN;226;17,2;;
ERENIK;2;-;;
ERES;2;-;;
ERET;2;-;;
EREZ;5;-;;
ERFA-AH;2;-;;
ERFAN;191;20;;
ERGASH;2;-;;
ERGEN;4;-;;
ERGENT;3;-;;
ERGES;4;-;;
ERGEST;4;-;;
ERGI;9;-;;
ERGIL;2;-;;
ERGIN;74;40,9;;
ERGJAN;9;-;;
ERGO;2;-;;
ERGON;5;-;;
ERGUN;9;-;;
ERGÜL;2;-;;
ERGYN;3;-;;
ERGÜN;33;44,9;;
ERGYS;7;-;;
ERGYUN;5;-;;
ERHAD;4;-;;
ERHAN;136;37,2;;
ERHARD;36;72,8;;
ERHES;3;-;;
ERHOLD;2;-;;
ERI;13;22,6;;
ERIAN;2;-;;
ERIBERTO;2;-;;
ERIC;9 442;32,9;;
ERICH;132;71,1;;
ERIC-JOHAN;2;-;;
ERICK;173;34,9;;
ERICKSON;4;-;;
ERICO;13;52,5;;
ERICSON;4;-;;
ERIDON;5;-;;
ERIEL;2;-;;
ERIGERT;2;-;;
ERIJON;13;15,1;;
ERIK;54 860;41;;
ERIK AXEL;4;-;;
ERIK GUNNAR;4;-;;
ERIK GUSTAF;4;-;;
ERIK JOHAN;3;-;;
ERIK MAGNUS;3;-;;
ERIK OLOF;2;-;;
ERIK WILHELM;2;-;;
ERIKA;5;-;;
ERIKAS;39;32;;
ERIKO;2;-;;
ERIK-OLOF;4;-;;
ERIKOS;5;-;;
ERIKS;31;42,2;;
ERIK-WILHELM;2;-;;
ERIL;2;-;;
ERIM;2;-;;
ERIMAS;2;-;;
ERIMIAS;2;-;;
ERIN;24;16,9;;
ERINC;2;-;;
ERIND;8;-;;
ERIO;2;-;;
ERIOL;3;-;;
ERION;158;15,8;;
ERIQ;6;-;;
ERIS;45;16,5;;
ERISELD;2;-;;
ERISH;4;-;;
ERIT;2;-;;
ERITIER;2;-;;
ERITON;3;-;;
ERIX;2;-;;
ERIYA;2;-;;
ERJAN;3;-;;
ERJON;131;20,2;;
ERK;3;-;;
ERKAM;3;-;;
ERKAN;222;39,1;;
ERKHEM;7;-;;
ERKHEMBAYAR;13;19,5;;
ERKHEMBILEG;5;-;;
ERKHEMSAIKHAN;3;-;;
ERKHEMSULD;2;-;;
ERKHES;25;7,9;;
ERKHET;3;-;;
ERKI;10;37,3;;
ERKIN;30;37,7;;
ERKINBEK;2;-;;
ERKINJON;3;-;;
ERKKA;5;-;;
ERKKI;722;72,8;;
ERKKO;4;-;;
ERKO;7;-;;
ERKUT;11;31,9;;
ERL;2;-;;
ERLAN;3;-;;
ERLAND;1 170;62;;
ERLANDAS;6;-;;
ERLEND;32;38,5;;
ERLENDUR;6;-;;
ERLI;2;-;;
ERLIN;5;-;;
ERLIND;22;22,6;;
ERLINDO;2;-;;
ERLING;1 219;65,1;;
ERLINGUR;5;-;;
ERLIS;18;13,2;;
ERLON;2;-;;
ERMAL;92;25,8;;
ERMAN;46;30,1;;
ERMANNO;4;-;;
ERMANT;2;-;;
ERMEAS;2;-;;
ERMELIND;2;-;;
ERMEN;2;-;;
ERMENEGILDO;2;-;;
ERMER;2;-;;
ERMES;5;-;;
ERMIA;11;12,8;;
ERMIAS;205;27,1;;
ERMIN;276;34,6;;
ERMINIO;2;-;;
ERMIR;32;29,2;;
ERMIS;16;17;;
ERMIYA;5;-;;
ERMIYAS;26;21,9;;
ERMO;7;-;;
ERMOND;2;-;;
ERMUUN;9;-;;
ERMYAS;13;27,1;;
ERNAD;86;36,6;;
ERNAN;5;-;;
ERNANDO;2;-;;
ERNARD;2;-;;
ERNE;14;72,5;;
ERNES;37;29,9;;
ERNEST;206;37,9;;
ERNESTAS;49;31,4;;
ERNESTO;232;45,8;;
ERNESTS;11;15,6;;
ERNFRID;8;-;;
ERNI;5;-;;
ERNIE;30;62,4;;
ERNIS;5;-;;
ERNO;22;51,9;;
ERNST;2 083;69,3;;
ERNST OLOV;3;-;;
ERNST-AUGUST;2;-;;
ERNST-ERIK;3;-;;
ERNST-HUGO;2;-;;
ERNST-OLOF;5;-;;
ERNST-OVE;2;-;;
ERNY;7;-;;
ERNÖ;30;64,5;;
ERO;5;-;;
EROL;206;45,7;;
EROLD;12;66,8;;
EROLIND;4;-;;
EROLL;26;40,4;;
EROMOSELE;3;-;;
ERON;78;16,8;;
ERONIT;2;-;;
EROS;62;16,8;;
EROTOKRITOS;3;-;;
EROZ;3;-;;
ERRIKOS;2;-;;
ERROL;63;46;;
ERROLD;2;-;;
ERROLF;2;-;;
ERSAD;5;-;;
ERSAN;67;34,9;;
ERSEL;3;-;;
ERSEN;17;39,7;;
ERSHAD;14;29,6;;
ERSHIA;2;-;;
ERSIN;94;38,6;;
ERSKINE;2;-;;
ERSON;3;-;;
ERSOY;4;-;;
ERTAN;64;40,3;;
ERTEKIN;2;-;;
ERTEM;3;-;;
ERTI;3;-;;
ERTIN;3;-;;
ERTION;2;-;;
ERTON;10;13,8;;
ERTUGRUL;54;34,7;;
ERTUNC;2;-;;
ERTÜRK;2;-;;
ERVAD;2;-;;
ERVAN;2;-;;
ERVAND;3;-;;
ERVE;2;-;;
ERVIN;349;31,8;;
ERVINAS;6;-;;
ERVINE;2;-;;
ERVINS;12;41,7;;
ERVIS;33;34,1;;
ERWA;2;-;;
ERWAN;15;35,6;;
ERWIN;230;40,5;;
ERWING;3;-;;
ERXHAN;4;-;;
ERYAN;2;-;;
ERYCK;2;-;;
ERYK;125;20,5;;
ERYO;3;-;;
ERZAN;4;-;;
ERZEN;12;35,9;;
ERZHAN;2;-;;
ESA;562;61,5;;
ESAA;3;-;;
ESAAM;3;-;;
ESAD;237;55,8;;
ESAGH;2;-;;
ESAI;7;-;;
ESAIA;10;11,7;;
ESAIAH;9;-;;
ESAIAS;107;16,2;;
ESAJA;2;-;;
ESAJAH;2;-;;
ESAJAS;6;-;;
ESAK;14;29;;
ESALE;2;-;;
ESAM;108;43;;
ESAMA;2;-;;
ESAN;5;-;;
ESA-PEKKA;2;-;;
ESAQ;3;-;;
ESAT;100;41,9;;
ESAU;5;-;;
ESAW;4;-;;
ESAY;8;-;;
ESAYA;2;-;;
ESAYAS;37;38,8;;
ESBEN;40;34,8;;
ESBER;3;-;;
ESBJÖRN;489;53,9;;
ESDRAS;5;-;;
ESE;2;-;;
ESED;13;49,8;;
ESEF;13;56,1;;
ESEG;2;-;;
ESEHAK;2;-;;
ESEI;4;-;;
ESEN;2;-;;
ESEOGHENE;2;-;;
ESER;22;25,4;;
ESET;8;-;;
ESEY;96;8,6;;
ESEYAS;24;31,5;;
ESFAND;2;-;;
ESFANDIAR;24;65,9;;
ESFANDYAR;4;-;;
ESHA;3;-;;
ESHAAN;4;-;;
ESHAG;3;-;;
ESHAGH;26;39,7;;
ESHAK;14;42,5;;
ESHAN;14;14,6;;
ESHAQ;19;30,5;;
ESHAR;2;-;;
ESHET;2;-;;
ESHETU;6;-;;
ESHO;13;29,6;;
ESHREF;7;-;;
ESHU;2;-;;
ESIA;2;-;;
ESIAH;2;-;;
ESIAS;14;9,2;;
ESIDOR;2;-;;
ESIEY;3;-;;
ESKANDAR;29;34,2;;
ESKANDER;17;33,2;;
ESKE;2;-;;
ESKENDER;3;-;;
ESKIL;1 923;28,7;;
ESKILD;14;41,1;;
ESKINDER;12;47,1;;
ESKNDR;2;-;;
ESKO;469;70,7;;
ESLAM;43;29;;
ESLI;2;-;;
ESMAEEL;18;44;;
ESMAEIL;89;51,4;;
ESMAEL;29;39,8;;
ESMAIEL;7;-;;
ESMAIL;144;44;;
ESMAILL;2;-;;
ESMAT;46;30,6;;
ESMATOLLAH;9;-;;
ESMATULLAH;49;25,8;;
ESMER;12;38,8;;
ESMERALDA;3;-;;
ESMIN;9;-;;
ESMIR;40;36;;
ESMOND;2;-;;
ESNAF;4;-;;
ESNEF;4;-;;
ESO;2;-;;
ESON;2;-;;
ESPEN;192;29,8;;
ESPER;3;-;;
ESPOIR;10;14;;
ESPOIRE;3;-;;
ESRA;15;12,8;;
ESRAFIL;2;-;;
ESRAM;2;-;;
ESRAR;3;-;;
ESREF;16;54,6;;
ESROM;157;12,7;;
ESRON;3;-;;
ESS;3;-;;
ESSA;118;26,1;;
ESSAID;3;-;;
ESSAK;3;-;;
ESSAM;134;41,6;;
ESSAN;4;-;;
ESSAR;2;-;;
ESSAY;7;-;;
ESSAYAS;6;-;;
ESSE;66;46,2;;
ESSEI;4;-;;
ESSEN;3;-;;
ESSEY;67;11,4;;
ESSEYAS;2;-;;
ESSI;6;-;;
ESSIE;2;-;;
ESSIEN;2;-;;
ESSLAM;3;-;;
ESSMAIL;2;-;;
ESSMAT;7;-;;
ESSO;5;-;;
ESSY;2;-;;
ESTANISLAO;11;53,4;;
ESTEBAN;168;37;;
ESTEFAN;10;28,5;;
ESTEFANO;4;-;;
ESTEFANOS;3;-;;
ESTEN;7;-;;
ESTER;2;-;;
ESTEVAN;2;-;;
ESTEVAO;3;-;;
ESTFANOS;2;-;;
ESTHER;2;-;;
ESTIFAN;5;-;;
ESTIFANOS;63;41,7;;
ESTIVEN;3;-;;
ESTON;26;20,9;;
ESTREF;4;-;;
ESTUARDO;4;-;;
ESUBALEW;2;-;;
ESUBE;2;-;;
ESVALD;2;-;;
ESVED;2;-;;
ESWAR;4;-;;
ESYAS;5;-;;
ETAN;2;-;;
ETBAREK;3;-;;
ETEM;16;33;;
ETHAN;299;11,2;;
ETHANIEL;2;-;;
ETHAR;6;-;;
ETHEM;27;40,9;;
ETHER;2;-;;
ETHIR;2;-;;
ETIAN;2;-;;
ETIBAR;8;-;;
ETIENNE;84;32,5;;
ÉTIENNE;19;13,3;;
ETIOSA;2;-;;
ETKA;4;-;;
ETMOND;2;-;;
ETNIK;8;-;;
ETON;12;6,1;;
ETRIT;11;13,4;;
ETTORE;25;45,8;;
EUAN;21;28;;
EUCLIDES;2;-;;
EUDJEN;2;-;;
EUEAL;2;-;;
EUEL;4;-;;
EUFRAT;4;-;;
EUGEN;231;45,6;;
EUGÉN;24;63;;
EUGENE;80;43,6;;
EUGÉNE;7;-;;
EUGÈNE;5;-;;
EUGENI;2;-;;
EUGENIJ;3;-;;
EUGENIJUS;13;44,1;;
EUGENIO;71;53,9;;
EUGENIU;15;41,2;;
EUGENIUS;3;-;;
EUGENIUSZ;57;63,2;;
EUGEN-NELU;2;-;;
EUGEN-OCTAVIAN;2;-;;
EUGENY;3;-;;
EUGIEN;2;-;;
EUGIN;2;-;;
EUGINE;2;-;;
EUGLEN;2;-;;
EULALIO;2;-;;
EULIDES;2;-;;
EULIN;2;-;;
EULOGIO;6;-;;
EURICO;3;-;;
EURO;2;-;;
EURON;11;18,8;;
EUSEBIO;10;55,4;;
EUSEBIU;6;-;;
EUSTAQUIO;2;-;;
EUSTATHIOS;4;-;;
EUSTRATIOS;4;-;;
EUTHYME;2;-;;
EUZEBIO;2;-;;
EUZEBIUSZ;2;-;;
EVA;3;-;;
EVAAN;7;-;;
EVAGELOS;22;45,1;;
EVAGGELOS;12;50,9;;
EVALD;277;56,4;;
EVALDAS;76;38,1;;
EVALDO;5;-;;
EVALDS;3;-;;
EVAN;400;25,9;;
EVANAS;7;-;;
EVANCE;2;-;;
EVANDER;19;8,4;;
EVANDRO;8;-;;
EVANGEL;3;-;;
EVANGELOS;195;44;;
EVANN;2;-;;
EVANS;31;30,8;;
EVAR;15;12,3;;
EVARISTE;7;-;;
EVARISTO;7;-;;
EVARISTUS;2;-;;
EVDOKIMOS;2;-;;
EVE;70;71,2;;
EVEL;7;-;;
EVELIN;6;-;;
EVELINA;4;-;;
EVELIO;4;-;;
EVELYN;4;-;;
EVELYNN;2;-;;
EVEN;196;15,1;;
EVENAZER;4;-;;
EVENEZER;23;10,8;;
EVER;13;48,9;;
EVERARD;2;-;;
EVERARDUS;5;-;;
EVEREST;13;13,6;;
EVERETT;15;24,3;;
EVERT;1 525;68,9;;
EVERTH;11;57,5;;
EVERTON;8;-;;
EVERTS;4;-;;
EVGENI;23;45,1;;
EVGENII;51;36,4;;
EVGENIJ;22;41,2;;
EVGENIOS;4;-;;
EVGENIY;24;37,8;;
EVGENY;69;41,3;;
EVGHENI;4;-;;
EVGIN;7;-;;
EVGUENI;16;54,8;;
EVIAN;21;10,4;;
EVIL;2;-;;
EVIN;31;13,3;;
EVINDAR;10;27;;
EVING;2;-;;
EVLAMPIOS;2;-;;
EVO;3;-;;
EVON;9;-;;
EVRA;2;-;;
EVRAM;2;-;;
EVREN;37;21,7;;
EVRIM;6;-;;
EVRIPIDIS;6;-;;
EVRISTHENIS;2;-;;
EVTIM;2;-;;
EVVE;2;-;;
EVVIN;2;-;;
EVZEN;3;-;;
EVZI;2;-;;
EWALD;34;46;;
EWAN;50;22,9;;
EWAS;2;-;;
EWAZ;10;48,5;;
EWE;16;67,1;;
EWEN;12;22;;
EWERT;36;57,2;;
EWIAS;2;-;;
EWIN;10;9,4;;
EWING;2;-;;
EWNETU;2;-;;
EWOUD;5;-;;
EWOUT;2;-;;
EXAUCE;5;-;;
EXAUCÉ;3;-;;
EXCEL;4;-;;
EXEQUIEL;9;-;;
EXON;2;-;;
EXOSE;2;-;;
EYAD;308;27,9;;
EYAL;12;26,6;;
EYAN;6;-;;
EYAS;33;11,1;;
EYASS;3;-;;
EYASSU;7;-;;
EYASU;26;36,6;;
EYAZ;4;-;;
EYD;3;-;;
EYDARUS;2;-;;
EYDEN;2;-;;
EYED;2;-;;
EYHAM;2;-;;
EYIP;3;-;;
EYJOLFUR;3;-;;
EYJÓLFUR;2;-;;
EYMAN;20;10,6;;
EYMEN;109;8,5;;
EYMEN ALI;2;-;;
EYNAR;3;-;;
EYOAB;10;8,4;;
EYOAS;3;-;;
EYOB;161;35,7;;
EYOBED;13;12,3;;
EYOBEL;17;17,1;;
EYOBIEL;6;-;;
EYOEL;13;15,6;;
EYONG;2;-;;
EYOSIAS;11;9,5;;
EYOSIYAS;6;-;;
EYOSYAS;2;-;;
EYOUB;6;-;;
EYSTEIN;2;-;;
EYTAN;5;-;;
EYTHOR;3;-;;
EYTHÓR;4;-;;
EYUAB;2;-;;
EYUAL;2;-;;
EYUB;10;23,6;;
EYUEL;15;13,9;;
EYUP;26;35,5;;
EYVAZ;5;-;;
EYVIN;6;-;;
EYVIND;174;18,5;;
EYWIND;2;-;;
EYÜB;5;-;;
EYÜP;55;34,2;;
EYYUB;3;-;;
EYYUP;9;-;;
EYYÜB;3;-;;
EYYÜP;21;32,8;;
EZ;13;32,9;;
EZAAN;3;-;;
EZADIN;5;-;;
EZALDEEN;2;-;;
EZALDIN;5;-;;
EZAN;10;10,5;;
EZANA;36;15,6;;
EZAT;28;33,5;;
EZATOLLAH;8;-;;
EZATULLAH;29;27,1;;
EZDAN;2;-;;
EZDIN;4;-;;
EZE;3;-;;
EZECHIEL;5;-;;
EZEDDIN;9;-;;
EZEDIN;12;31,9;;
EZEKIEL;66;15,4;;
EZEL;35;9,7;;
EZELDIN;2;-;;
EZEQUIEL;36;30,1;;
EZIO;20;32,3;;
EZLEN;2;-;;
EZMAN;2;-;;
EZMEREY;2;-;;
EZOU;2;-;;
EZRA;134;15,1;;
EZRAH;4;-;;
EZVIN;3;-;;
EZZ;12;27,8;;
EZZ ALDIN;2;-;;
EZZADDIN;3;-;;
EZZALDEEN;3;-;;
EZZALDIN;6;-;;
EZZAT;59;33,2;;
EZZATOLLAH;6;-;;
EZZATULLAH;5;-;;
EZZE;2;-;;
EZZEDDIN;17;37,5;;
EZZEDDINE;12;50,7;;
EZZEDIN;2;-;;
EZZEDINE;7;-;;
EZZELDEEN;2;-;;
EZZELDIN;8;-;;
EZZINE;2;-;;
EZZIO;2;-;;
EZZO;5;-;;
EZZULDDIN;3;-;;
F;3;-;;
FA;5;-;;
FAADI;2;-;;
FAADIL;4;-;;
FAADY;2;-;;
FAAEZ;2;-;;
FAAID;3;-;;
FAAIZ;6;-;;
FAARAH;7;-;;
FAARIS;6;-;;
FAARUQ;3;-;;
FAATEH;2;-;;
FAAZ;3;-;;
FABAKARY;12;46;;
FABBE;2;-;;
FABIAN;4 718;21,2;;
FABIÁN;9;-;;
FÁBIÁN;2;-;;
FABIANO;12;28,6;;
FABIEN;54;36,2;;
FABIJAN;14;29,4;;
FABIO;284;36,8;;
FÁBIO;20;34,4;;
FABIUS;5;-;;
FABJAN;5;-;;
FABJO;2;-;;
FABRICE;78;37;;
FABRICIO;37;33,8;;
FABRÍCIO;2;-;;
FABRISE;2;-;;
FABRIZIO;75;34,2;;
FABRIZZIO;6;-;;
FABURAMA;2;-;;
FABYAN;2;-;;
FACINET;2;-;;
FACUNDO;26;33,3;;
FADA;4;-;;
FADAL;2;-;;
FADDE;3;-;;
FADDI;4;-;;
FADE;40;33,8;;
FADEE;5;-;;
FADEEL;2;-;;
FADEL;144;37,9;;
FADHEL;40;51;;
FADHI;4;-;;
FADHIL;74;47,9;;
FADHILI;3;-;;
FADHL;7;-;;
FADI;1 645;35,3;;
FADIL;286;54,3;;
FADILJ;22;51,8;;
FADIR;3;-;;
FADL;15;35,5;;
FADLALLAH;4;-;;
FADOL;2;-;;
FADY;129;32,4;;
FAEEZ;2;-;;
FAEGH;3;-;;
FAEIQ;2;-;;
FAEK;13;50,9;;
FAEQ;12;59,9;;
FAESAL;5;-;;
FAEYZ;3;-;;
FAEZ;69;46,5;;
FAFA;2;-;;
FAGAN;3;-;;
FAGER;2;-;;
FAGNER;3;-;;
FAHAD;406;25,2;;
FAHAT;2;-;;
FAHD;128;30,2;;
FAHED;166;32,1;;
FAHEEM;24;34,4;;
FAHEM;2;-;;
FAHER;2;-;;
FAHID;13;27,8;;
FAHIIM;3;-;;
FAHIM;145;32,2;;
FAHIMULLAH;4;-;;
FAHIR;6;-;;
FAHME;3;-;;
FAHMI;105;48,8;;
FAHMID;3;-;;
FAHMY;8;-;;
FAHREDIN;18;49,5;;
FAHRET;3;-;;
FAHRETTIN;25;48,1;;
FAHRI;72;47,8;;
FAHRIJA;5;-;;
FAHRO;3;-;;
FAHRUDIN;117;52,5;;
FAHTI;2;-;;
FAI;6;-;;
FAIAD;2;-;;
FAIAZ;4;-;;
FAICAL;15;46,2;;
FAICEL;4;-;;
FAID;15;26,4;;
FAIDH;2;-;;
FAIDHI;2;-;;
FAIDON;2;-;;
FAIEK;6;-;;
FAIEZ;15;45,6;;
FAIG;5;-;;
FAIK;157;46,8;;
FAIM;2;-;;
FAIQ;13;36,9;;
FAIS;4;-;;
FAISAL;578;33;;
FAISEL;9;-;;
FAISSAL;11;46,6;;
FAITH;9;-;;
FAIYAZ;4;-;;
FAIZ;143;41,3;;
FAIZAL;8;-;;
FAIZAN;58;21,5;;
FAIZE;2;-;;
FAIZULLAH;12;38,4;;
FAIZUR;2;-;;
FAJ;2;-;;
FAJAR;2;-;;
FAJER;14;17,8;;
FAJIK;7;-;;
FAJIR;3;-;;
FAJKO;4;-;;
FAJR;14;18,7;;
FAJUN;2;-;;
FAKER;3;-;;
FAKHAR;8;-;;
FAKHER;25;46,4;;
FAKHIR;13;47,3;;
FAKHR;10;34,2;;
FAKHRADDIN;5;-;;
FAKHRADIN;5;-;;
FAKHRE;2;-;;
FAKHREDDIN;7;-;;
FAKHREDDINE;3;-;;
FAKHREDIN;2;-;;
FAKHRI;37;50,3;;
FAKHRIDDIN;7;-;;
FAKHRUDDIN;3;-;;
FAKHRUL;2;-;;
FAKHRULDDIN;2;-;;
FAKHRY;4;-;;
FAKIR;5;-;;
FAKO;2;-;;
FAKRE;2;-;;
FAKRI;3;-;;
FAKRUL;2;-;;
FALAH;137;50,2;;
FALAK;10;33,7;;
FALCO;4;-;;
FALCON;6;-;;
FALE;8;-;;
FALEH;14;54,7;;
FALIH;9;-;;
FALILOU;5;-;;
FALK;16;41,7;;
FALKE;121;3,2;;
FALKO;11;37,2;;
FALKON;3;-;;
FALL;10;67,5;;
FALLAH;6;-;;
FALLOU;10;14,3;;
FALMATA;3;-;;
FALOU;2;-;;
FALTAOUS;3;-;;
FAMARA;14;45,3;;
FAME;2;-;;
FAMI;2;-;;
FAMIL;4;-;;
FAMUSA;3;-;;
FAN;27;37,3;;
FANAR;21;30,5;;
FANEL;10;39,8;;
FANER;2;-;;
FANG;13;38,7;;
FANGMIN;2;-;;
FANGQING;2;-;;
FANGZHOU;7;-;;
FANIAL;4;-;;
FANICA;6;-;;
FANIEL;59;17,3;;
FANNAR;6;-;;
FANNIS;2;-;;
FANOL;4;-;;
FANON;3;-;;
FANOURIOS;3;-;;
FANSU;3;-;;
FANTAHUN;5;-;;
FANUAL;4;-;;
FANUEL;66;22;;
FANUS;7;-;;
FAOLÁN;2;-;;
FAOUAZ;2;-;;
FAOUZI;41;52,4;;
FAOZI;8;-;;
FAQIR;2;-;;
FARA;4;-;;
FARAAZ;2;-;;
FARAD;6;-;;
FARADJ;3;-;;
FARAG;15;39,1;;
FARAH;200;38,6;;
FARAHAN;2;-;;
FARAIDON;12;32,9;;
FARAIDOON;5;-;;
FARAIDOUN;4;-;;
FARAIDUN;6;-;;
FARAJ;90;47,2;;
FARAJA;3;-;;
FARAJALLAH;2;-;;
