;;;;
Tilltalsnamn, antal bärare och medelålder för folkbokförda kvinnor 31 december 2022;;;;
Tilltalsnamn med minst två bärare, medelålder redovisas där antal bärare är 10 eller fler;;;;
;;;;
Tilltalsnamn;Antal bärare;Medelålder;;
ABREHET;116;50;;
ABREHT;4;-;;
ABRESHA;2;-;;
ABRHATSION;4;-;;
ABRHET;24;46,5;;
ABRIL;17;19,5;;
ABRISH;12;4,4;;
ABSA;4;-;;
ABSALA;2;-;;
ABSALAT;5;-;;
ABSAN;2;-;;
ABSARA;2;-;;
ABSERA;3;-;;
ABSHIRA;15;37,1;;
ABSHIRO;58;42;;
ABTESAM;8;-;;
ABTIHAL;2;-;;
ABTISAM;8;-;;
ABTSAM;6;-;;
ABUDUREYIMU;2;-;;
ABUK;2;-;;
ABULIMITI;3;-;;
ABY;4;-;;
ABYAN;29;16,1;;
ABYSSINIA;3;-;;
A-C;2;-;;
ACACIA;5;-;;
ACAR;4;-;;
ACE;16;23,4;;
ACELIA;2;-;;
ACELYA;6;-;;
ACER;3;-;;
ACHA;3;-;;
ACHALA;2;-;;
ACHAN;2;-;;
ACHARA;10;50,8;;
ACHARAPORN;2;-;;
ACHE;5;-;;
ACHIMA;2;-;;
ACHIN;2;-;;
ACHINI;3;-;;
ACHIRAYA;5;-;;
ACHIRO;2;-;;
ACHITA;2;-;;
ACHLA;2;-;;
ACHOL;7;-;;
ACHOUCHA;2;-;;
ACHTA;5;-;;
ACHTAR;5;-;;
ACHWAK;2;-;;
ACIL;3;-;;
ACILA;2;-;;
ACILIA;3;-;;
ACKA;3;-;;
ACKI;4;-;;
ACKIE;2;-;;
ACYA;2;-;;
ADA;915;18,4;;
ADAEZE;8;-;;
ADAH;5;-;;
ADAL;2;-;;
ADALA;5;-;;
ADALAURA;2;-;;
ADALBJÖRG;2;-;;
ADALET;22;51;;
ADALETA;11;37,7;;
ADALGISA;3;-;;
ADALHEIDUR;6;-;;
ADALIA;13;8;;
ADALINA;2;-;;
ADALINE;5;-;;
ADALITA;2;-;;
ADALMINA;2;-;;
ADALYAT;3;-;;
ADALYNN;2;-;;
ADAM;33;24,9;;
ADAMA;86;27,8;;
ADAMANTIA;10;38,2;;
ADAMARIS;2;-;;
ADAMINA;3;-;;
ADAMMA;4;-;;
ADAN;17;15,1;;
ADANECH;16;47,7;;
ADANESH;2;-;;
ADANNA;15;14,2;;
ADANYA;2;-;;
ADAOBI;4;-;;
ADAORA;6;-;;
ADAR;67;42,7;;
ADARA;5;-;;
ADA-STINA;2;-;;
ADAUGO;3;-;;
ADAWIA;8;-;;
ADAWIEH;4;-;;
ADAWIYA;6;-;;
ADDA;12;38,1;;
ADDELINA;2;-;;
ADDI;2;-;;
ADDIE;8;-;;
ADDIS;13;33;;
ADDISALEM;6;-;;
ADDISON;3;-;;
ADDY;4;-;;
ADE;11;43,1;;
ADEA;103;9,4;;
ADEAN;2;-;;
ADEBA;10;54,4;;
ADEBISI;4;-;;
ADEEBA;17;32,8;;
ADEEBAH;9;-;;
ADEEL;2;-;;
ADEELA;15;31,7;;
ADEEN;4;-;;
ADEENA;10;9,7;;
ADEILE;2;-;;
ADEJA;3;-;;
ADEKEMI;2;-;;
ADEL;34;31,9;;
ADÉL;12;30;;
ADELA;577;30,2;;
ADÉLA;25;32,8;;
ADELAH;4;-;;
ADELAIDA;25;55,5;;
ADELAIDE;34;33,5;;
ADÉLAÏDE;4;-;;
ADELAINE;2;-;;
ADELAJDA;13;40,8;;
ADELE;1076;11,7;;
ADELÉ;16;17,5;;
ADÉLE;181;28,6;;
ADÈLE;119;11,3;;
ADELEH;21;53;;
ADELEI;2;-;;
ADELEINE;6;-;;
ADELEN;6;-;;
ADELENA;2;-;;
ADELÉNE;2;-;;
ADELFA;3;-;;
ADELHAJDA;2;-;;
ADELHEID;19;62,5;;
ADELI;3;-;;
ADELIA;230;10,9;;
ADÉLIA;6;-;;
ADELICIA;2;-;;
ADELIE;36;11,9;;
ADÉLIE;9;-;;
ADELIN;20;12,9;;
ADELINA;627;23,7;;
ADÉLINA;2;-;;
