;;;;
Tilltalsnamn, antal bärare och medelålder för folkbokförda kvinnor 31 december 2022;;;;
Tilltalsnamn med minst två bärare, medelålder redovisas där antal bärare är 10 eller fler;;;;
;;;;
Tilltalsnamn;Antal bärare;Medelålder;;
ANNBRITT MARGARETA;2;-;;
ANN-BRITTE;2;-;;
ANN-BRITTH;5;-;;
ANN-CARI;2;-;;
ANNCARIN;3;-;;
ANN-CARIN;31;66,4;;
ANN-CARINA;21;59,8;;
ANN-CARINE;11;63,1;;
ANN-CAROL;4;-;;
ANN-CAROLA;2;-;;
ANN-CAROLE;2;-;;
ANN-CAROLIN;16;54,9;;
ANN-CAROLINE;91;52,3;;
ANN-CAROLINÉ;2;-;;
ANN-CATARINA;3;-;;
ANN-CATERINE;7;-;;
ANN-CATHARINE;5;-;;
ANN-CATHERIN;5;-;;
ANN-CATHERINE;55;63,4;;
ANN-CATHRIN;408;63,1;;
ANNCATHRINE;5;-;;
ANN-CATHRINE;551;65;;
ANNCATRIN;18;58,7;;
ANN-CATRIN;846;59;;
ANNCATRINE;8;-;;
ANN-CATRINE;418;61,7;;
ANN-CECIL;5;-;;
ANN-CECILE;4;-;;
ANN-CECILIA;6;-;;
ANN-CECILIE;3;-;;
ANNCHA;4;-;;
ANN-CHALOTT;5;-;;
ANN-CHALOTTE;3;-;;
ANNCHARLOTH;2;-;;
ANN-CHARLOTH;8;-;;
ANNCHARLOTT;39;56,9;;
ANN-CHARLOTT;1540;60,9;;
ANN-CHARLOTTA;31;58,2;;
ANNCHARLOTTE;56;53,9;;
ANN-CHARLOTTE;6823;59,7;;
ANN-CHARLOTTÉ;4;-;;
ANN-CHATERINE;3;-;;
ANN-CHATHRINE;4;-;;
ANN-CHATRIN;174;63,5;;
ANNCHATRINE;6;-;;
ANN-CHATRINE;198;63;;
ANNCHELIE;2;-;;
ANNCHEN;4;-;;
ANN-CHERIE;5;-;;
ANNCHI;5;-;;
ANN-CHRESTIN;2;-;;
ANN-CHRIS;2;-;;
ANN-CHRISTEL;6;-;;
ANNCHRISTIN;32;61,2;;
ANN-CHRISTIN;5591;65,5;;
ANN-CHRISTINA;45;67;;
ANNCHRISTINE;23;64,5;;
ANN-CHRISTINE;3320;63,2;;
ANN-CHRISTINÉ;3;-;;
ANNCI;12;61,5;;
ANN-CI;3;-;;
ANNCIE;3;-;;
ANN-CRESTIN;2;-;;
ANN-CRISTHINE;4;-;;
ANNCRISTIN;3;-;;
ANN-CRISTIN;244;64,8;;
ANN-CRISTINA;3;-;;
ANNCRISTINE;3;-;;
ANN-CRISTINE;81;61,5;;
ANNCY;2;-;;
ANN-DORTHE;2;-;;
ANNE;9430;60;;
ANNÉ;6;-;;
ANNE BEATE;3;-;;
ANNE BERIT;5;-;;
ANNE BRITT;11;70,8;;
ANNE CATARINA;3;-;;
ANNE CATHERINE;5;-;;
ANNE CATHRIN;4;-;;
ANNE CATHRINE;4;-;;
ANNE CATRINE;4;-;;
ANNE CHARLOTTE;69;62,2;;
ANNE CHATRINE;3;-;;
ANNE CHRISTIN;7;-;;
ANNE CHRISTINA;3;-;;
ANNE CHRISTINE;32;65,9;;
ANNE ELISE;2;-;;
ANNE GRETE;6;-;;
ANNE GRETHE;13;63,6;;
ANNE HELEN;3;-;;
ANNE HELENE;4;-;;
ANNE INGEBORG;2;-;;
ANNE JEANETTE;2;-;;
ANNE KARI;6;-;;
ANNE KARIN;8;-;;
ANNE KATARINA;2;-;;
ANNE KATHRINE;3;-;;
ANNE KATRIN;2;-;;
ANNE KATRINE;10;66,7;;
ANNE KJERSTIN;2;-;;
ANNE KRISTIN;7;-;;
ANNE KRISTINA;3;-;;
ANNE KRISTINE;14;61,5;;
ANNE LEE;2;-;;
ANNE LENE;4;-;;
ANNE LI;4;-;;
ANNE LIE;5;-;;
ANNE LINE;2;-;;
ANNE LINN;2;-;;
ANNE LISE;18;70,8;;
ANNE LOUISE;33;62,5;;
ANNE MAJ;14;74,8;;
ANNE MARGARET;2;-;;
ANNE MARGIT;2;-;;
ANNE MARGRET;2;-;;
ANNE MARGRETH;3;-;;
ANNE MARGRETHE;4;-;;
ANNE MARI;14;64,1;;
ANNE MARIA;19;66,5;;
ANNE MARIE;208;71,3;;
ANNE MARIT;4;-;;
ANNE MAY;2;-;;
ANNE MERETE;2;-;;
ANNE METTE;6;-;;
ANNE SOFIA;2;-;;
ANNE SOFIE;26;59,6;;
ANNE SOPHIE;8;-;;
ANNE THERESE;2;-;;
ANNEA;7;-;;
ANNÉA;20;33,4;;
ANNE-BEATE;8;-;;
ANNEBEL;2;-;;
ANNEBELL;7;-;;
ANNE-BELL;9;-;;
ANNEBELLE;6;-;;
ANNE-BERIT;11;61,2;;
ANNEBETH;4;-;;
ANNE-BETH;9;-;;
ANNE-BETT;2;-;;
ANNE-BIRGITTA;4;-;;
ANNE-BRITH;2;-;;
ANNEBRITT;7;-;;
ANNE-BRITT;141;74,3;;
ANNE-CARIN;4;-;;
ANNE-CARINA;2;-;;
ANNE-CAROLINE;7;-;;
ANNE-CATARINE;2;-;;
ANNE-CATHARINE;2;-;;
ANNE-CATHERINE;32;69;;
ANNE-CATHRIN;8;-;;
ANNE-CATHRINE;132;68,6;;
ANNE-CATRIN;13;61,1;;
ANNE-CATRINE;40;63,2;;
ANNE-CECILE;3;-;;
ANNE-CÉCILE;3;-;;
ANNE-CHARLOTT;32;61,5;;
ANNE-CHARLOTTA;5;-;;
ANNECHARLOTTE;9;-;;
ANNE-CHARLOTTE;950;63,7;;
ANNE-CHATERINE;3;-;;
ANNE-CHATRIN;7;-;;
ANNE-CHATRINE;31;66,2;;
ANNE-CHRISTIN;78;64,9;;
ANNE-CHRISTINA;9;-;;
ANNECHRISTINE;5;-;;
ANNE-CHRISTINE;578;66,3;;
ANNE-CLAIRE;7;-;;
ANNE-CRISTIN;4;-;;
ANNE-CRISTINE;9;-;;
ANNEDORE;3;-;;
ANNE-DORTHE;2;-;;
ANNE-ELISABETH;3;-;;
ANNE-ELISE;3;-;;
ANNE-FRANCOISE;2;-;;
ANNEFRID;23;40;;
ANNE-FRID;8;-;;
ANNE-FRIDA;2;-;;
ANNEFRIED;2;-;;
ANNEGERD;5;-;;
ANNE-GERD;18;71,6;;
ANNEGRET;48;63;;
ANNE-GRET;2;-;;
ANNE-GRETA;3;-;;
ANNEGRETE;6;-;;
ANNE-GRETE;11;63,5;;
ANNE-GRETH;2;-;;
ANNEGRETHE;2;-;;
ANNE-GRETHE;10;64,7;;
ANNE-GRY;2;-;;
ANNEGÄRD;4;-;;
ANNEH;2;-;;
ANNE-HELEN;8;-;;
ANNE-HELENA;2;-;;
ANNE-HELENE;19;64,6;;
ANN-EIVOR;2;-;;
ANNE-JEANETTE;11;64,4;;
ANNEKA;6;-;;
ANNE-KAARINA;3;-;;
ANNE-KAJSA;3;-;;
ANNE-KARI;2;-;;
ANNE-KARIN;22;61,2;;
ANNE-KARINE;2;-;;
ANNE-KAROLINE;2;-;;
ANNEKATHRIN;2;-;;
ANNE-KATHRIN;16;47,2;;
ANNE-KATHRINE;10;66,5;;
ANNEKATRIN;4;-;;
ANNE-KATRIN;23;59,3;;
ANNE-KATRINE;34;68,1;;
ANNEKE;31;44,9;;
ANNE-KRISTIN;60;64,3;;
ANNE-KRISTINA;4;-;;
ANNE-KRISTINE;53;67,1;;
ANNEL;16;68,8;;
ANNELA;12;46,1;;
ANNE-LAILA;3;-;;
ANNE-LAURE;9;-;;
ANNELE;21;62,8;;
ANNE-LE;2;-;;
ANNELEE;42;51,9;;
ANNE-LEE;82;55,8;;
ANNE-LEEN;2;-;;
ANNE-LEENA;2;-;;
ANNELEI;2;-;;
ANNELEN;35;53,6;;
ANNE-LEN;15;61,1;;
ANNE-LENA;8;-;;
ANNELENE;13;68,4;;
ANNE-LENE;11;59,2;;
ANN-ELENE;2;-;;
ANNELI;14502;56,9;;
ANNE-LI;332;57,9;;
ANN-ELI;2;-;;
ANNÉLI;5;-;;
ANNELIA;5;-;;
ANNELIE;8560;52,7;;
ANNE-LIE;699;56,9;;
ANN-ELIE;3;-;;
ANNELIÉ;13;53,3;;
ANNE-LIÉ;3;-;;
ANNELIEKE;2;-;;
ANNELIEN;3;-;;
ANNELIES;24;55,2;;
ANNE-LIES;3;-;;
ANNELIESE;67;77,8;;
ANNELII;10;56,3;;
ANNE-LII;25;59,4;;
ANNELIINA;2;-;;
ANNE-LIIS;8;-;;
ANNELILL;18;60,9;;
ANNE-LILL;27;64,3;;
ANNELIN;5;-;;
ANNELINA;7;-;;
ANNE-LINA;3;-;;
ANNELINE;5;-;;
ANNE-LINE;7;-;;
ANNE-LINN;6;-;;
ANNELIS;28;60,2;;
ANNE-LIS;40;69,1;;
ANN-ELISABET;7;-;;
ANN-ELISABETH;3;-;;
ANNELISE;71;71,1;;
ANNE-LISE;107;69,8;;
ANN-ELISE;16;59,1;;
ANNE-LISS;2;-;;
ANNELIZ;4;-;;
ANNE-LIZ;5;-;;
ANNELLA;3;-;;
ANNELLI;6;-;;
ANNELO;2;-;;
ANNELORE;6;-;;
ANNE-LORE;2;-;;
ANNELOTT;5;-;;
ANNE-LOTT;13;63,1;;
ANNELOTTE;4;-;;
ANNE-LOTTE;2;-;;
ANNE-LOUICE;8;-;;
ANNELOUISE;3;-;;
ANNE-LOUISE;342;61,8;;
ANNELY;16;41,3;;
ANNE-LY;7;-;;
ANNE-MAARIA;3;-;;
ANNE-MAARIT;17;55,1;;
ANNEMAI;2;-;;
ANNE-MAI;15;62,7;;
ANNE-MAIA;2;-;;
ANNE-MAIJA;2;-;;
ANNE-MAITH;2;-;;
ANNEMAJ;8;-;;
ANNE-MAJ;346;70,1;;
ANNE-MAJA;6;-;;
ANNE-MARET;3;-;;
ANNE-MARGARETE;2;-;;
ANNE-MARGARETHE;2;-;;
ANNE-MARGRET;29;73,4;;
ANNE-MARGRETE;9;-;;
ANNE-MARGRETH;10;69,4;;
ANNE-MARGRETHE;13;67,4;;
ANNEMARI;27;58;;
ANNE-MARI;250;63,5;;
ANNE-MARIA;82;61,5;;
ANNEMARIE;138;65;;
ANNE-MARIE;4005;71,3;;
ANNEMARIJN;3;-;;
ANNE-MARIKA;3;-;;
ANNE-MARIT;10;58,2;;
ANNE-MARITA;2;-;;
ANNE-MARJA;6;-;;
ANNE-MARLENE;2;-;;
ANNE-MARTHE;2;-;;
ANNE-MARY;5;-;;
ANNEMAY;3;-;;
ANNE-MAY;70;68,2;;
ANNE-MERETE;3;-;;
ANNE-MERETHE;2;-;;
ANNEMETTE;7;-;;
ANNE-METTE;29;55,6;;
ANNEMI;11;57,1;;
ANNE-MI;9;-;;
ANNE-MIA;4;-;;
ANNEMIE;6;-;;
ANNE-MIE;7;-;;
ANNEMIEK;4;-;;
ANNEMIEKE;11;54,4;;
ANNEMIJN;2;-;;
ANNEMO;58;54,6;;
ANNE-MO;5;-;;
ANNEMON;2;-;;
ANNE-MONA;4;-;;
ANNEMONE;3;-;;
ANNE-MONICA;2;-;;
ANNEMOR;18;69,7;;
ANNE-MOR;4;-;;
ANNEMY;2;-;;
ANNEN;2;-;;
ANNE-PAULINE;2;-;;
ANNE-REGINA;2;-;;
ANNERI;2;-;;
ANNE-RIITTA;2;-;;
ANNERITA;3;-;;
ANNEROSE;8;-;;
ANNE-ROSE;6;-;;
ANNE-SOFI;20;63,9;;
ANNE-SOFIA;5;-;;
ANNESOFIE;3;-;;
ANNE-SOFIE;427;57,6;;
ANNE-SOPHI;2;-;;
ANNE-SOPHIE;126;53,1;;
ANNET;37;44,5;;
ANNETA;6;-;;
ANNETE;9;-;;
ANNETH;120;58,6;;
ANNÉTH;2;-;;
ANNETHE;79;57,6;;
ANNE-THERESE;2;-;;
ANNETJE;3;-;;
ANNETT;255;57,6;;
ANNETTA;4;-;;
ANNETTE;6827;60,1;;
ANNETTÉ;2;-;;
ANNÉTTE;10;62,4;;
ANNETTH;3;-;;
ANNETTHE;14;59,3;;
ANN-EVA;32;66;;
ANNEVI;33;57,7;;
ANNEVIE;2;-;;
ANN-EVY;5;-;;
ANN-EWA;2;-;;
ANNEY;2;-;;
ANNGELA;4;-;;
ANNGELICA;27;41;;
ANNGELIE;3;-;;
ANNGELIKA;2;-;;
ANNGELINE;2;-;;
ANNGERD;16;70,5;;
ANN-GERD;145;72,3;;
ANNGIT;2;-;;
ANN-GIT;3;-;;
ANN-GITT;7;-;;
ANNGRET;15;72,2;;
ANN-GRET;88;75,5;;
ANN-GRETE;4;-;;
ANNGRETH;7;-;;
ANN-GRETH;24;70,9;;
ANN-GRETHE;4;-;;
ANN-GUN;3;-;;
ANNGÄRD;2;-;;
ANN-GÄRD;3;-;;
ANNH;4;-;;
ANN-HARRIET;3;-;;
ANNHELEN;7;-;;
ANN-HELEN;371;59,1;;
ANNHELÉN;3;-;;
ANN-HELÉN;118;60,6;;
ANN-HELENA;2;-;;
ANN-HELENE;110;58,6;;
ANN-HELENÉ;2;-;;
ANN-HELÉNE;26;57,9;;
ANNHILD;27;61,5;;
ANN-HILD;7;-;;
ANNI;813;44,6;;
ANNIA;19;40,7;;
ANNI-BRITT;3;-;;
ANNICA;6163;53,8;;
ANNICCA;3;-;;
ANNICE;13;56,6;;
ANNICHA;10;52,4;;
ANNICHEN;9;-;;
ANNICI;2;-;;
ANNICK;30;46,5;;
ANNICKA;695;57,4;;
ANNICKE;7;-;;
ANNICKEN;2;-;;
ANNICKI;4;-;;
ANNIDA;8;-;;
ANN-IDA;24;50,3;;
ANNIE;5880;30,9;;
ANNIÉ;7;-;;
ANNIE KRISTINE;2;-;;
ANNIE MARIA;4;-;;
ANNIE MARIE;3;-;;
ANNIE-BRITT;3;-;;
ANNIEFRID;2;-;;
ANNIE-FRID;4;-;;
ANNIEK;4;-;;
ANNIELA;12;32,8;;
ANNIELI;2;-;;
ANNIE-LIE;3;-;;
ANNIELLA;8;-;;
ANNIELLE;9;-;;
ANNIE-LOUISE;2;-;;
ANNIE-MAJ;7;-;;
ANNIE-MARI;2;-;;
ANNIE-MARIE;14;81,8;;
ANNIE-SOFIE;2;-;;
ANNIETTE;4;-;;
ANNIFRID;12;38,6;;
ANNI-FRID;7;-;;
ANNIGJE;3;-;;
ANNIIE;2;-;;
ANNIINA;24;39,7;;
ANNIJA;9;-;;
ANNIK;5;-;;
ANNIKA;30745;56,5;;
ANNIKA MARIE;2;-;;
ANNIKE;18;60,8;;
ANNIKEN;25;47,4;;
ANNIKI;18;55,3;;
ANNIKIE;2;-;;
ANNIKKA;72;60,9;;
ANNIKKE;3;-;;
ANNIKKEN;3;-;;
ANNIKKI;267;73,4;;
ANNILA;6;-;;
ANNILD;2;-;;
ANNILI;10;62,6;;
ANNI-LI;2;-;;
ANNILIE;5;-;;
ANNILLA;4;-;;
ANNI-MAJ;11;77,3;;
ANNI-MARI;4;-;;
ANNI-MARIA;6;-;;
ANNI-MARIE;2;-;;
ANNINA;67;37,7;;
ANN-INGER;13;66;;
ANNIQA;41;56,8;;
ANNIQE;3;-;;
ANNIQUA;6;-;;
ANNIQUE;4;-;;
ANN-IRENE;4;-;;
ANN-IRÉNE;6;-;;
ANNIS;25;54,3;;
ANNISA;14;25;;
ANNISETTE;2;-;;
ANNISSA;2;-;;
ANNITA;161;76;;
ANNITAH;3;-;;
ANNITTA;3;-;;
ANNIZ;2;-;;
ANNJA;8;-;;
ANN-JANETTE;4;-;;
ANN-JASMIN;2;-;;
ANN-JEANETT;4;-;;
ANNJEANETTE;3;-;;
ANN-JEANETTE;108;58,8;;
ANN-JEANNETTE;3;-;;
ANNJELICA;3;-;;
ANN-JOSÉ;2;-;;
ANN-JULIE;4;-;;
ANN-KAJSA;2;-;;
ANN-KARI;17;66,6;;
ANNKARIN;2;-;;
ANN-KARIN;60;67,8;;
ANN-KARINA;6;-;;
ANN-KAROLIN;3;-;;
ANN-KAROLINE;12;57,1;;
ANN-KATARIN;2;-;;
ANN-KATARINA;4;-;;
ANN-KATARINE;2;-;;
ANN-KATERINE;2;-;;
ANN-KATHERINE;4;-;;
ANNKATHRIN;5;-;;
ANN-KATHRIN;148;62,4;;
ANN-KATHRINE;76;64,6;;
ANNKATRIN;41;56,9;;
ANN-KATRIN;1507;62,9;;
ANN-KATRINA;5;-;;
ANNKATRINE;2;-;;
ANN-KATRINE;229;64,7;;
ANN-KERSTI;29;73,4;;
ANN-KERSTIN;23;76,3;;
ANNKI;44;63;;
ANN-KI;3;-;;
ANNKIE;8;-;;
ANN-KRESTIN;12;68,2;;
ANNKRISTIN;43;60,3;;
ANN-KRISTIN;3538;65,2;;
ANN-KRISTINA;39;65;;
ANNKRISTINE;4;-;;
ANN-KRISTINE;275;63,1;;
ANNLAUG;2;-;;
ANNLEE;2;-;;
ANN-LEE;3;-;;
ANN-LEN;2;-;;
ANN-LENA;5;-;;
ANNLI;18;64,8;;
ANN-LI;2;-;;
ANNLIE;3;-;;
ANN-LIE;4;-;;
ANN-LIL;2;-;;
ANN-LILI;4;-;;
ANNLILL;4;-;;
ANN-LILL;15;67,6;;
ANNLINN;2;-;;
ANN-LINNÉ;2;-;;
ANNLIS;42;68,9;;
ANN-LIS;163;69,7;;
ANN-LISBETH;4;-;;
ANN-LISE;2;-;;
ANN-LISETTE;3;-;;
ANN-LISS;8;-;;
ANNLIZ;2;-;;
ANN-LIZ;13;57;;
ANN-LOIS;12;63,4;;
ANN-LOISE;13;53,9;;
ANN-LOTT;2;-;;
ANN-LOU;2;-;;
ANNLOUICE;2;-;;
ANN-LOUICE;51;53,1;;
ANNLOUIS;5;-;;
ANN-LOUIS;61;57,6;;
ANNLOUISE;34;54,3;;
ANN-LOUISE;3099;58,6;;
ANN-LOUISÉ;2;-;;
ANN-LOVIS;9;-;;
ANN-LOVISE;7;-;;
ANN-MAARIT;3;-;;
ANN-MADELEINE;2;-;;
ANN-MADELENE;2;-;;
ANN-MAGRET;14;70,4;;
ANN-MAGRETE;2;-;;
ANN-MAGRETH;15;66,7;;
ANN-MAJ;35;74,6;;
ANN-MALOU;2;-;;
ANN-MARGARET;34;72,1;;
ANN-MARGARETA;11;76,1;;
ANN-MARGARETE;2;-;;
ANN-MARGARETH;16;70,4;;
ANN-MARGARETHE;4;-;;
ANN-MARGOT;2;-;;
ANNMARGRET;6;-;;
ANN-MARGRET;822;72,7;;
ANN-MARGRETE;26;72,7;;
ANN-MARGRETH;269;69;;
ANN-MARGRÉTH;2;-;;
ANN-MARGRETHE;24;67,9;;
ANNMARI;158;65,6;;
ANN-MARI;2712;73,6;;
ANN-MARIA;16;58,5;;
ANNMARIE;136;62,9;;
ANN-MARIE;5221;70,7;;
ANN-MARITA;5;-;;
ANN-MARLEN;3;-;;
ANN-MARLÉN;3;-;;
ANN-MARLENE;14;58,1;;
ANN-MARY;6;-;;
ANN-MAY;5;-;;
ANN-MI;2;-;;
ANN-MONICA;4;-;;
ANN-MÄRIT;2;-;;
ANNO;12;46,6;;
ANNOU;3;-;;
ANNOULA;3;-;;
ANNOUS;2;-;;
ANN-RENÉE;2;-;;
ANNRI;2;-;;
ANNRIKA;12;72,2;;
ANN-ROSE;3;-;;
ANN-ROSI;2;-;;
ANN-RUT;2;-;;
ANN-SARA;2;-;;
ANNSI;2;-;;
ANNSIE;3;-;;
ANN-SIV;2;-;;
ANNSO;4;-;;
ANN-SOFFIE;2;-;;
ANN-SOFHI;2;-;;
ANNSOFI;161;52,7;;
ANN-SOFI;2124;60,1;;
ANN-SOFIA;15;59,5;;
ANNSOFIE;184;48,4;;
ANN-SOFIE;4870;52,8;;
ANN-SOFIÉ;5;-;;
ANN-SOLVEIG;2;-;;
ANN-SOPHI;9;-;;
ANNSOPHIE;21;53,4;;
ANN-SOPHIE;282;54,3;;
ANN-STIN;3;-;;
ANN-SUSANNE;3;-;;
ANN-TERESE;7;-;;
ANN-THERES;4;-;;
ANN-THERESE;29;53,3;;
ANN-THERÉSE;11;53,6;;
ANNTIN;2;-;;
ANNTONIA;3;-;;
ANNU;14;52,3;;
ANNUKKA;30;58,1;;
ANNUM;2;-;;
ANNVI;12;67,2;;
ANNVIE;2;-;;
ANN-VIOL;25;68,5;;
ANN-VIOLA;3;-;;
ANNVOR;26;68,4;;
ANNVY;2;-;;
ANN-WIOL;7;-;;
ANNY;500;55;;
ANNY KRISTINA;2;-;;
ANNYA;5;-;;
ANNYCA;2;-;;
ANNZOFIE;3;-;;
ANN-ZOFIE;3;-;;
ANO;3;-;;
ANOAR;7;-;;
ANOCHA;4;-;;
ANOJA;3;-;;
ANOKINA;2;-;;
ANOMA;7;-;;
ANONA;2;-;;
ANONG;52;51,4;;
ANONGLAK;6;-;;
ANONGLUK;2;-;;
ANONGNARD;2;-;;
ANONGNAT;3;-;;
ANONGNUT;2;-;;
ANONNA;3;-;;
ANOOD;3;-;;
ANOOSH;2;-;;
ANOOSHA;8;-;;
ANOOSHEH;2;-;;
ANORA;3;-;;
ANOSH;2;-;;
ANOSHA;15;20,2;;
ANOSHE;2;-;;
ANOSHEH;2;-;;
ANOTAI;2;-;;
ANOTHAI;3;-;;
ANOU;2;-;;
ANOUCH;3;-;;
ANOUCHKA;3;-;;
ANOUCK;3;-;;
ANOUD;17;32,4;;
ANOUK;70;16,3;;
ANOUSCHKA;4;-;;
ANOUSH;5;-;;
ANOUSHA;8;-;;
ANOUSHEH;3;-;;
ANOUSHKA;9;-;;
ANOWARA;5;-;;
ANQI;20;31,2;;
ANQING;2;-;;
ANRAN;7;-;;
ANRI;17;53,8;;
ANSA;47;58,5;;
ANSAF;19;49,6;;
ANSAL;17;9,1;;
ANSAM;76;38,1;;
ANSAR;5;-;;
ANSE;2;-;;
ANSELA;2;-;;
ANSELINA;2;-;;
ANSELMA;2;-;;
ANSHA;6;-;;
ANSHI;2;-;;
ANSHIKA;8;-;;
ANSHITA;2;-;;
ANSHRAH;2;-;;
ANSHU;9;-;;
ANSHUKA;2;-;;
ANSI;16;68,8;;
ANSIE;6;-;;
ANSIEH;3;-;;
ANSO;3;-;;
ANSSAM;2;-;;
ANSTASIA;2;-;;
ANSU;3;-;;
ANSY;10;80;;
ANTA;23;50,1;;
ANTALNÉ;2;-;;
ANTANINA;7;-;;
ANTARA;12;29,1;;
ANTASAR;2;-;;
ANTE;4;-;;
ANTEA;9;-;;
ANTELA;2;-;;
ANTELAINTA;3;-;;
ANTELINA;3;-;;
ANTESAR;9;-;;
ANTHEA;20;26,5;;
ANTHI;17;36,5;;
ANTHIA;3;-;;
ANTHIKA;2;-;;
ANTHONIA;30;31,7;;
ANTHONY;2;-;;
ANTHOULA;17;49;;
ANTIA;7;-;;
ANTIANA;2;-;;
ANTICA;8;-;;
ANTIGON;2;-;;
ANTIGONA;102;33,9;;
ANTIGONE;38;41,3;;
ANTIGONI;22;46,8;;
ANTIKA;3;-;;
ANTILIA;2;-;;
ANTIMA;2;-;;
ANTIN;2;-;;
ANTINA;6;-;;
ANTIONETTA;2;-;;
ANTIONETTE;3;-;;
ANTISAR;3;-;;
ANTJE;123;57,5;;
ANTOANELA;4;-;;
ANTOANELLA;2;-;;
ANTOANET;2;-;;
ANTOANETA;26;46,1;;
ANTOANETT;2;-;;
ANTOINET;4;-;;
ANTOINETT;6;-;;
ANTOINETTA;13;52,4;;
ANTOINETTE;175;55,4;;
ANTOLINA;3;-;;
ANTON;11;23,9;;
ANTONELA;36;30;;
ANTONELLA;160;23,2;;
ANTONETA;26;42,1;;
ANTONETE;2;-;;
ANTONETTE;14;43,9;;
ANTONIA;1399;28,3;;
ANTÓNIA;2;-;;
ANTONIA-MARIA;4;-;;
ANTONICA;2;-;;
ANTONIDA;2;-;;
ANTONIE;19;52,6;;
ANTONIETA;12;53,8;;
ANTONIETTA;17;69,6;;
ANTONIETTE;2;-;;
ANTONIJA;103;41;;
ANTONILA;2;-;;
ANTONINA;166;36,3;;
ANTONIYA;9;-;;
ANTONYA;2;-;;
ANTOUNILLA;2;-;;
ANTRA;16;46,1;;
ANTSAR;2;-;;
ANTUELA;3;-;;
ANTWANET;10;66,6;;
ANTWANETTE;3;-;;
ANTWANIT;4;-;;
ANTZELA;15;26,3;;
ANTZELINA;3;-;;
ANU;217;48,4;;
ANUARITE;2;-;;
ANUBHA;6;-;;
ANUBHUTI;2;-;;
ANUD;5;-;;
ANUDARI;18;19,5;;
ANUELA;3;-;;
ANUJA;21;33,1;;
ANUJIN;37;14,5;;
ANUK;2;-;;
ANUKA;2;-;;
ANUKI;2;-;;
ANULA;2;-;;
ANULUK;2;-;;
ANUM;35;28,7;;
ANUMA;3;-;;
ANUMOL;2;-;;
ANUMSA;3;-;;
ANUNDARI;2;-;;
ANUNGOO;7;-;;
ANUNYA;2;-;;
ANUOLUWAPO;2;-;;
ANUPA;3;-;;
ANUPAMA;22;34;;
ANUPMA;3;-;;
ANUPRIYA;8;-;;
ANURADHA;33;36,9;;
ANURAK;4;-;;
ANUREET;4;-;;
ANUSA;2;-;;
ANUSARA;8;-;;
ANUSCHKA;6;-;;
ANUSH;24;36,6;;
ANUSHA;89;30,2;;
ANUSHIK;3;-;;
ANUSHKA;24;16,4;;
ANUSHREE;8;-;;
ANUSJ;2;-;;
ANUSKA;10;44,5;;
ANUSORN;2;-;;
ANUSREE;4;-;;
ANUSSARA;2;-;;
ANUSUYA;3;-;;
ANUTA;10;56,2;;
ANUTHIDA;7;-;;
ANUTIDA;2;-;;
ANUTSARA;3;-;;
ANUUJIN;3;-;;
ANU-UJIN;10;9,4;;
ANUYA;2;-;;
ANVAR;2;-;;
ANVI;19;10,8;;
ANVIKA;10;5,5;;
ANVITA;4;-;;
ANVITHA;8;-;;
ANVOR;8;-;;
ANWAAR;7;-;;
ANWAR;175;38,3;;
ANWARA;3;-;;
ANWEN;6;-;;
ANWER;2;-;;
ANWESHA;10;25,5;;
ANWITA;5;-;;
ANXHELA;41;23,9;;
ANXHELINA;4;-;;
ANY;10;33,5;;
ANYA;267;23,8;;
ANYAH;2;-;;
ANYAMANEE;2;-;;
ANYAMANI;2;-;;
ANYANEE;2;-;;
ANYARAT;8;-;;
ANYARIN;3;-;;
ANYELA;6;-;;
ANYELINA;4;-;;
ANYI;2;-;;
ANYLA;2;-;;
ANZAL;55;8;;
ANZEL;2;-;;
ANZELA;12;43;;
ANZELIKA;21;37,2;;
ANZHALIKA;2;-;;
ANZHELA;36;42,2;;
ANZHELIKA;32;41,1;;
ANZHI;2;-;;
ANZI;2;-;;
ANZIL;2;-;;
ANZJELIKA;3;-;;
ANZY;2;-;;
AO;3;-;;
AOGHOL;2;-;;
AOI;10;24,9;;
AOIFE;19;25,3;;
AOLA;4;-;;
AOLIN;3;-;;
AOMI;2;-;;
AOMJAI;3;-;;
AORELA;2;-;;
AORTA;2;-;;
AOUATEF;5;-;;
AOUATIF;8;-;;
AOUICHA;4;-;;
AOURORA;2;-;;
AOYJAI;2;-;;
APARAJITA;4;-;;
APARECIDA;3;-;;
APARNA;43;34,1;;
APATSARA;3;-;;
APAWAN;2;-;;
APEKSHA;6;-;;
APHATSANAN;2;-;;
APHATSARA;6;-;;
APHELELE;2;-;;
APHINYA;18;38,5;;
APHIRADEE;2;-;;
APHISARA;2;-;;
APHRODITE;9;-;;
APICHAYA;2;-;;
APINYA;40;41,2;;
APIRADA;2;-;;
APIRADEE;6;-;;
APIRUDEE;3;-;;
APISARA;4;-;;
APISSARA;2;-;;
APITCHAYA;2;-;;
APIWAN;2;-;;
APO;2;-;;
APOLINA;2;-;;
APOLINE;2;-;;
APOLLINE;8;-;;
APOLLONIA;19;31,9;;
APOLONIA;21;31,9;;
APOORVA;23;29,2;;
APORN;8;-;;
APOSTOLIA;8;-;;
APOSTOLINA;2;-;;
APPHIA;3;-;;
APPLE;13;32,2;;
APPOLINE;5;-;;
APRAJITA;5;-;;
